dispm,velm,accm,displ,vell,accl,act,wspd,next_wspd
0.00010833982843765036,0.0001419049681549147,0.0003363800215478127,-0.000103765261912071,1.0182100679534891e-05,9.993932592670672e-05,0.0,2.86,0.0
0.0001451575332697143,0.00036784470526732976,0.0014938439600116276,-0.00010013933996327414,-1.832590092364257e-05,5.1095540374018086e-05,20.0,2.86,0.0
0.00013647349258457376,0.0003012645873531764,0.0014737086020068047,-9.771746967024817e-05,-2.6144808663522727e-05,1.688524731445993e-05,40.0,2.86,0.0
0.00013490760118168945,0.00026213010922975833,0.0014507773866310678,-9.527805779484285e-05,-1.3704713755937915e-05,-2.04438129163499e-05,60.0,2.86,0.0
0.00013911260330586977,0.00025130368635531983,0.0014012296425439897,-9.668922225513877e-05,1.740583435530567e-06,-1.2804824664940552e-05,80.0,2.86,0.0
0.000146428674890503,0.0002575661366580526,0.001393720580729811,-0.000101258196888202,1.225501024863828e-05,-2.6478717225992488e-05,100.0,2.86,0.0
0.00015499970630234336,0.00027479651365669487,0.0014573403914740126,-0.00010782766861597069,2.210604901892681e-05,-3.5226002804801053e-05,120.0,2.86,0.0
0.00016318152914944272,0.00029259822253857896,0.001549943277412855,-0.00011539922934995966,3.0192691942551147e-05,-3.941228116728443e-05,140.0,2.86,0.0
0.00017049904067240293,0.00030871860600870625,0.0016573715648735864,-0.00012432940491349489,3.789362489302247e-05,-4.242699160668217e-05,160.0,2.86,0.0
0.00017707210425233185,0.00032480577045391335,0.0017844709645300715,-0.00013390244277717252,4.449522276006525e-05,-4.3637219093199294e-05,180.0,2.86,0.0
0.00018228173934886011,0.0003378503607677735,0.0019210749727730301,-0.00014385331307417243,5.008177004053253e-05,-4.337606803995098e-05,200.0,2.86,0.0
0.00020908401369444657,0.0006116601303697685,0.0020802217407762226,3.6244825431788954e-05,0.00014460075089766527,2.3746485951096175e-05,0.0,3.08,2.86
0.0001330900920328208,0.00015911785914084138,0.0006041886944540784,3.792789827504028e-05,0.00011003274107544743,4.089343266536663e-06,20.0,3.08,2.86
0.00012882908451369084,0.00014768432132121703,0.000588118672049321,3.066874113732676e-05,0.00013503003516121223,0.00010640838698389538,40.0,3.08,2.86
0.00012576797194024385,0.0001701547035682507,0.0005150404620272009,1.9225908686390943e-05,0.0001383506897729152,0.0002727962980413802,60.0,3.08,2.86
0.00012342576192264892,0.00019469335500188467,0.0005331701167946852,7.454165255471289e-06,0.00011167632652391672,0.0004482182225701243,80.0,3.08,2.86
0.00013316627337718693,0.0002170195405443235,0.0006350848164376104,-7.29322502709261e-07,7.997502417009668e-05,4.123484136717551e-07,100.0,3.08,2.86
0.0001420494877944073,0.00023757746435155964,0.0007302587615156018,-7.346411459500407e-06,7.757730367724175e-05,3.7719716853439116e-06,120.0,3.08,2.86
0.00015034164447342796,0.00025683651602574674,0.0008215009186316397,-1.3643287602875436e-05,7.553811753716242e-05,5.623318359247239e-06,140.0,3.08,2.86
0.00015806487186587436,0.00027518976184714614,0.000910127875291146,-1.9835623798354787e-05,7.395152832516077e-05,6.478848276656336e-06,160.0,3.08,2.86
0.00016521198926366368,0.0002925637682861605,0.0009963342038493005,-2.6122686494793705e-05,7.286953352539022e-05,6.620507487194168e-06,180.0,3.08,2.86
0.00017169881269570055,0.0003086759791364929,0.0010793408913443324,-3.2627996117837024e-05,7.224942695646192e-05,6.30870792482457e-06,200.0,3.08,2.86
0.00012685826933847672,0.0001836451437747597,0.0004552549065797483,9.377632591130092e-05,-1.1490851890583412e-05,-3.8464870517767235e-05,0.0,2.508,3.08
0.00014982358918638828,0.0002759747370279967,0.001349583255549906,9.880678177795032e-05,-3.611909311324231e-05,-5.7538385664978886e-05,20.0,2.508,3.08
0.00013192991959520522,0.00020655914087894703,0.0014167909462968805,0.00010449104463830999,-3.362092545452667e-05,-9.831846164629633e-05,40.0,2.508,3.08
0.00012296035572101113,0.00018427751004176986,0.0014992571562218334,0.00010479805993791128,-2.188796756749271e-05,-0.00010859379245193546,60.0,2.508,3.08
