,state,state_p,act,r_disp,s,s_p
0,"(0.0, 0.0)","(0.000101, 2.86)",10.0,1.004346,25,11957
1,"(0.0, 0.0)","(0.0001, 2.86)",20.0,0.999346,25,1532
2,"(0.0, 0.0)","(9.9e-05, 2.86)",30.0,0.994346,25,19046
3,"(0.0, 0.0)","(9.8e-05, 2.86)",40.0,0.989346,25,8899
4,"(0.0, 0.0)","(9.6e-05, 2.86)",50.0,0.984346,25,15988
5,"(0.0, 0.0)","(9.5e-05, 2.86)",60.0,0.979346,25,5841
6,"(0.0, 0.0)","(9.5e-05, 2.86)",70.0,-1.072037,25,5841
7,"(0.0, 0.0)","(9.7e-05, 2.86)",80.0,-1.123333,25,26969
8,"(0.0, 0.0)","(9.9e-05, 2.86)",90.0,-1.16537,25,19046
9,"(0.0, 0.0)","(0.000101, 2.86)",100.0,-1.216667,25,11957
10,"(0.0, 0.0)","(0.000104, 2.86)",110.0,-1.267963,25,15015
11,"(0.0, 0.0)","(0.000108, 2.86)",120.0,-1.31,25,559
12,"(0.0, 0.0)","(0.000111, 2.86)",130.0,-1.352037,25,3756
13,"(0.0, 0.0)","(0.000115, 2.86)",140.0,-1.394074,25,17100
14,"(0.0, 0.0)","(0.00012, 2.86)",150.0,-1.436111,25,13069
15,"(0.0, 0.0)","(0.000124, 2.86)",160.0,-1.478148,25,27108
16,"(0.0, 0.0)","(0.000129, 2.86)",170.0,-1.520185,25,22660
17,"(0.0, 0.0)","(0.000134, 2.86)",180.0,-1.552963,25,18212
18,"(0.0, 0.0)","(0.000139, 2.86)",190.0,-1.595,25,14181
19,"(0.0, 0.0)","(0.000144, 2.86)",200.0,-1.627778,25,10150
20,"(4e-05, 2.86)","(4e-05, 3.08)",10.0,1.106801,23355,23356
21,"(3.8e-05, 2.86)","(3.8e-05, 3.08)",20.0,1.159935,2366,2367
22,"(3.5e-05, 2.86)","(3.5e-05, 3.08)",30.0,1.211027,27803,27804
23,"(3.1e-05, 2.86)","(3.1e-05, 3.08)",40.0,1.240563,13625,13626
24,"(2.5e-05, 2.86)","(2.5e-05, 3.08)",50.0,1.253571,7509,7510
25,"(1.9e-05, 2.86)","(1.9e-05, 3.08)",60.0,1.239504,1115,1116
26,"(1.3e-05, 2.86)","(1.3e-05, 3.08)",70.0,1.216748,23216,23217
27,"(7e-06, 2.86)","(7e-06, 3.08)",80.0,1.186027,16544,16545
28,"(3e-06, 2.86)","(3e-06, 3.08)",90.0,1.148333,3200,3201
29,"(1e-06, 2.86)","(1e-06, 3.08)",100.0,1.112338,10428,10429
30,"(4e-06, 2.86)","(4e-06, 3.08)",110.0,1.077911,13486,13487
31,"(7e-06, 2.86)","(7e-06, 3.08)",120.0,1.044938,16544,16545
32,"(1.1e-05, 2.86)","(1.1e-05, 3.08)",130.0,1.019848,2227,2228
33,"(1.4e-05, 2.86)","(1.4e-05, 3.08)",140.0,0.989172,5424,5425
34,"(1.7e-05, 2.86)","(1.7e-05, 3.08)",150.0,0.965698,8482,8483
35,"(2e-05, 2.86)","(2e-05, 3.08)",160.0,0.948736,11540,11541
36,"(2.3e-05, 2.86)","(2.3e-05, 3.08)",170.0,0.926299,14598,14599
37,"(2.6e-05, 2.86)","(2.6e-05, 3.08)",180.0,-0.09,17656,17657
38,"(2.9e-05, 2.86)","(2.9e-05, 3.08)",190.0,-1.106173,20992,20993
39,"(3.3e-05, 2.86)","(3.3e-05, 3.08)",200.0,-1.11676,6675,6676
40,"(4e-05, 2.86)","(4e-05, 3.08)",10.0,1.08305,23355,23356
41,"(3.8e-05, 2.86)","(3.8e-05, 3.08)",20.0,1.128158,2366,2367
42,"(3.5e-05, 2.86)","(3.5e-05, 3.08)",30.0,1.169932,27803,27804
43,"(3.1e-05, 2.86)","(3.1e-05, 3.08)",40.0,1.18979,13625,13626
44,"(2.5e-05, 2.86)","(2.5e-05, 3.08)",50.0,1.19331,7509,7510
45,"(1.9e-05, 2.86)","(1.9e-05, 3.08)",60.0,1.18831,1115,1116
46,"(1.3e-05, 2.86)","(1.3e-05, 3.08)",70.0,1.166389,23216,23217
47,"(7e-06, 2.86)","(7e-06, 3.08)",80.0,1.136871,16544,16545
48,"(3e-06, 2.86)","(3e-06, 3.08)",90.0,1.108333,3200,3201
49,"(1e-06, 2.86)","(1e-06, 3.08)",100.0,1.073377,10428,10429
50,"(4e-06, 2.86)","(4e-06, 3.08)",110.0,1.039937,13486,13487
51,"(7e-06, 2.86)","(7e-06, 3.08)",120.0,1.007901,16544,16545
52,"(1.1e-05, 2.86)","(1.1e-05, 3.08)",130.0,0.983485,2227,2228
53,"(1.4e-05, 2.86)","(1.4e-05, 3.08)",140.0,0.959762,5424,5425
54,"(1.7e-05, 2.86)","(1.7e-05, 3.08)",150.0,0.936696,8482,8483
55,"(2e-05, 2.86)","(2e-05, 3.08)",160.0,-0.08,11540,11541
56,"(2.3e-05, 2.86)","(2.3e-05, 3.08)",170.0,-1.102341,14598,14599
57,"(2.6e-05, 2.86)","(2.6e-05, 3.08)",180.0,-1.118902,17656,17657
58,"(2.9e-05, 2.86)","(2.9e-05, 3.08)",190.0,-1.135462,20992,20993
59,"(3.3e-05, 2.86)","(3.3e-05, 3.08)",200.0,-1.146243,6675,6676
60,"(4e-05, 2.86)","(4e-05, 3.08)",10.0,1.115,23355,23356
61,"(3.8e-05, 2.86)","(3.8e-05, 3.08)",20.0,1.185122,2366,2367
62,"(3.5e-05, 2.86)","(3.5e-05, 3.08)",30.0,1.257727,27803,27804
63,"(3.1e-05, 2.86)","(3.1e-05, 3.08)",40.0,1.313333,13625,13626
64,"(2.5e-05, 2.86)","(2.5e-05, 3.08)",50.0,1.336111,7509,7510
65,"(1.9e-05, 2.86)","(1.9e-05, 3.08)",60.0,1.340629,1115,1116
66,"(1.3e-05, 2.86)","(1.3e-05, 3.08)",70.0,1.316724,23216,23217
67,"(7e-06, 2.86)","(7e-06, 3.08)",80.0,1.284324,16544,16545
68,"(3e-06, 2.86)","(3e-06, 3.08)",90.0,1.236046,3200,3201
69,"(1e-06, 2.86)","(1e-06, 3.08)",100.0,1.198408,10428,10429
70,"(4e-06, 2.86)","(4e-06, 3.08)",110.0,1.162391,13486,13487
71,"(7e-06, 2.86)","(7e-06, 3.08)",120.0,1.127879,16544,16545
72,"(1.1e-05, 2.86)","(1.1e-05, 3.08)",130.0,1.094763,2227,2228
73,"(1.4e-05, 2.86)","(1.4e-05, 3.08)",140.0,1.069535,5424,5425
74,"(1.7e-05, 2.86)","(1.7e-05, 3.08)",150.0,1.045,8482,8483
75,"(2e-05, 2.86)","(2e-05, 3.08)",160.0,1.021124,11540,11541
76,"(2.3e-05, 2.86)","(2.3e-05, 3.08)",170.0,1.003889,14598,14599
77,"(2.6e-05, 2.86)","(2.6e-05, 3.08)",180.0,0.986923,17656,17657
78,"(2.9e-05, 2.86)","(2.9e-05, 3.08)",190.0,0.970217,20992,20993
79,"(3.3e-05, 2.86)","(3.3e-05, 3.08)",200.0,0.959459,6675,6676
80,"(9.6e-05, 3.08)","(9.6e-05, 2.508)",10.0,-1.014709,15989,15987
81,"(9.9e-05, 3.08)","(9.9e-05, 2.508)",20.0,-1.039126,19047,19045
82,"(0.000102, 3.08)","(0.000102, 2.508)",30.0,-1.063544,22522,22520
83,"(0.000104, 3.08)","(0.000104, 2.508)",40.0,-1.078252,15016,15014
84,"(0.000105, 3.08)","(0.000105, 2.508)",50.0,-1.073544,25997,25995
85,"(0.000105, 3.08)","(0.000105, 2.508)",60.0,-1.068835,25997,25995
86,"(0.000103, 3.08)","(0.000103, 2.508)",70.0,-1.054417,4730,4728
87,"(0.000101, 3.08)","(0.000101, 2.508)",80.0,-1.059417,11958,11956
88,"(9.9e-05, 3.08)","(9.9e-05, 2.508)",90.0,-1.103252,19047,19045
89,"(9.7e-05, 3.08)","(9.7e-05, 2.508)",100.0,-1.156796,26970,26968
90,"(9.7e-05, 3.08)","(9.7e-05, 2.508)",110.0,-1.200631,26970,26968
91,"(9.8e-05, 3.08)","(9.8e-05, 2.508)",120.0,-1.254175,8900,8898
92,"(9.9e-05, 3.08)","(9.9e-05, 2.508)",130.0,-1.29801,19047,19045
93,"(0.000101, 3.08)","(0.000101, 2.508)",140.0,-1.332136,11958,11956
94,"(0.000103, 3.08)","(0.000103, 2.508)",150.0,-1.375971,4730,4728
95,"(0.000105, 3.08)","(0.000105, 2.508)",160.0,-1.419806,25997,25995
96,"(0.000107, 3.08)","(0.000107, 2.508)",170.0,-1.463641,18074,18072
97,"(0.00011, 3.08)","(0.00011, 2.508)",180.0,-1.497767,21410,21408
98,"(0.000113, 3.08)","(0.000113, 2.508)",190.0,-1.531893,24885,24883
99,"(0.000116, 3.08)","(0.000116, 2.508)",200.0,-1.575728,28221,28219
100,"(9.6e-05, 3.08)","(9.6e-05, 2.508)",10.0,1.01939,15989,15987
101,"(9.9e-05, 3.08)","(9.9e-05, 2.508)",20.0,1.031322,19047,19045
102,"(0.000102, 3.08)","(0.000102, 2.508)",30.0,1.043824,22522,22520
103,"(0.000104, 3.08)","(0.000104, 2.508)",40.0,1.047797,15016,15014
104,"(0.000105, 3.08)","(0.000105, 2.508)",50.0,1.051923,25997,25995
105,"(0.000105, 3.08)","(0.000105, 2.508)",60.0,1.056207,25997,25995
106,"(0.000103, 3.08)","(0.000103, 2.508)",70.0,1.051207,4730,4728
107,"(0.000101, 3.08)","(0.000101, 2.508)",80.0,1.055652,11958,11956
108,"(9.9e-05, 3.08)","(9.9e-05, 2.508)",90.0,1.050652,19047,19045
109,"(9.7e-05, 3.08)","(9.7e-05, 2.508)",100.0,1.045652,26970,26968
110,"(9.7e-05, 3.08)","(9.7e-05, 2.508)",110.0,1.012797,26970,26968
111,"(9.8e-05, 3.08)","(9.8e-05, 2.508)",120.0,0.96439,8900,8898
112,"(9.9e-05, 3.08)","(9.9e-05, 2.508)",130.0,-1.072937,19047,19045
113,"(0.000101, 3.08)","(0.000101, 2.508)",140.0,-1.101746,11958,11956
114,"(0.000103, 3.08)","(0.000103, 2.508)",150.0,-1.138492,4730,4728
115,"(0.000105, 3.08)","(0.000105, 2.508)",160.0,-1.175238,25997,25995
116,"(0.000107, 3.08)","(0.000107, 2.508)",170.0,-1.211984,18074,18072
117,"(0.00011, 3.08)","(0.00011, 2.508)",180.0,-1.240794,21410,21408
118,"(0.000113, 3.08)","(0.000113, 2.508)",190.0,-1.269603,24885,24883
119,"(0.000116, 3.08)","(0.000116, 2.508)",200.0,-1.306349,28221,28219
120,"(9.6e-05, 3.08)","(9.6e-05, 2.508)",10.0,1.004091,15989,15987
121,"(9.9e-05, 3.08)","(9.9e-05, 2.508)",20.0,1.008349,19047,19045
122,"(0.000102, 3.08)","(0.000102, 2.508)",30.0,1.003349,22522,22520
123,"(0.000104, 3.08)","(0.000104, 2.508)",40.0,0.998349,15016,15014
124,"(0.000105, 3.08)","(0.000105, 2.508)",50.0,1.002778,25997,25995
125,"(0.000105, 3.08)","(0.000105, 2.508)",60.0,1.007383,25997,25995
126,"(0.000103, 3.08)","(0.000103, 2.508)",70.0,1.01217,4730,4728
127,"(0.000101, 3.08)","(0.000101, 2.508)",80.0,1.017143,11958,11956
128,"(9.9e-05, 3.08)","(9.9e-05, 2.508)",90.0,0.973349,19047,19045
129,"(9.7e-05, 3.08)","(9.7e-05, 2.508)",100.0,-1.077027,26970,26968
130,"(9.7e-05, 3.08)","(9.7e-05, 2.508)",110.0,-1.118063,26970,26968
131,"(9.8e-05, 3.08)","(9.8e-05, 2.508)",120.0,-1.168108,8900,8898
132,"(9.9e-05, 3.08)","(9.9e-05, 2.508)",130.0,-1.209144,19047,19045
133,"(0.000101, 3.08)","(0.000101, 2.508)",140.0,-1.241171,11958,11956
134,"(0.000103, 3.08)","(0.000103, 2.508)",150.0,-1.282207,4730,4728
135,"(0.000105, 3.08)","(0.000105, 2.508)",160.0,-1.323243,25997,25995
136,"(0.000107, 3.08)","(0.000107, 2.508)",170.0,-1.364279,18074,18072
137,"(0.00011, 3.08)","(0.00011, 2.508)",180.0,-1.396306,21410,21408
138,"(0.000113, 3.08)","(0.000113, 2.508)",190.0,-1.428333,24885,24883
139,"(0.000116, 3.08)","(0.000116, 2.508)",200.0,-1.469369,28221,28219
140,"(3.5e-05, 2.508)","(3.5e-05, 2.992)",10.0,1.097703,27802,27806
141,"(3.9e-05, 2.508)","(3.9e-05, 2.992)",20.0,1.19,12651,12655
142,"(4.3e-05, 2.508)","(4.3e-05, 2.992)",30.0,1.292692,26690,26694
143,"(4.7e-05, 2.508)","(4.7e-05, 2.992)",40.0,1.367755,11678,11682
144,"(5.1e-05, 2.508)","(5.1e-05, 2.992)",50.0,1.432143,25717,25721
145,"(5.4e-05, 2.508)","(5.4e-05, 2.992)",60.0,1.481111,280,284
146,"(5.7e-05, 2.508)","(5.7e-05, 2.992)",70.0,1.522252,3477,3481
147,"(5.9e-05, 2.508)","(5.9e-05, 2.992)",80.0,1.55375,24605,24609
148,"(6.1e-05, 2.508)","(6.1e-05, 2.992)",90.0,1.574048,16821,16825
149,"(6.3e-05, 2.508)","(6.3e-05, 2.992)",100.0,1.519231,9732,9736
150,"(6.4e-05, 2.508)","(6.4e-05, 2.992)",110.0,1.456111,20018,20022
151,"(6.6e-05, 2.508)","(6.6e-05, 2.992)",120.0,1.407626,12790,12794
152,"(6.8e-05, 2.508)","(6.8e-05, 2.992)",130.0,1.361573,5701,5705
153,"(7.1e-05, 2.508)","(7.1e-05, 2.992)",140.0,1.308378,8759,8763
154,"(7.3e-05, 2.508)","(7.3e-05, 2.992)",150.0,1.275993,1392,1396
155,"(7.5e-05, 2.508)","(7.5e-05, 2.992)",160.0,1.236129,22381,22385
156,"(7.8e-05, 2.508)","(7.8e-05, 2.992)",170.0,1.198019,25856,25860
157,"(8.1e-05, 2.508)","(8.1e-05, 2.992)",180.0,1.169259,419,423
158,"(8.4e-05, 2.508)","(8.4e-05, 2.992)",190.0,1.133916,3616,3620
159,"(8.7e-05, 2.508)","(8.7e-05, 2.992)",200.0,1.107101,6952,6956
160,"(3.5e-05, 2.508)","(3.5e-05, 2.992)",10.0,1.084385,27802,27806
161,"(3.9e-05, 2.508)","(3.9e-05, 2.992)",20.0,1.171818,12651,12655
162,"(4.3e-05, 2.508)","(4.3e-05, 2.992)",30.0,1.267895,26690,26694
163,"(4.7e-05, 2.508)","(4.7e-05, 2.992)",40.0,1.334167,11678,11682
164,"(5.1e-05, 2.508)","(5.1e-05, 2.992)",50.0,1.388043,25717,25721
165,"(5.4e-05, 2.508)","(5.4e-05, 2.992)",60.0,1.425224,280,284
166,"(5.7e-05, 2.508)","(5.7e-05, 2.992)",70.0,1.465,3477,3481
167,"(5.9e-05, 2.508)","(5.9e-05, 2.992)",80.0,1.483438,24605,24609
168,"(6.1e-05, 2.508)","(6.1e-05, 2.992)",90.0,1.502619,16821,16825
169,"(6.3e-05, 2.508)","(6.3e-05, 2.992)",100.0,1.45,9732,9736
170,"(6.4e-05, 2.508)","(6.4e-05, 2.992)",110.0,1.389444,20018,20022
171,"(6.6e-05, 2.508)","(6.6e-05, 2.992)",120.0,1.342878,12790,12794
172,"(6.8e-05, 2.508)","(6.8e-05, 2.992)",130.0,1.298636,5701,5705
173,"(7.1e-05, 2.508)","(7.1e-05, 2.992)",140.0,1.247568,8759,8763
174,"(7.3e-05, 2.508)","(7.3e-05, 2.992)",150.0,1.216391,1392,1396
175,"(7.5e-05, 2.508)","(7.5e-05, 2.992)",160.0,1.178065,22381,22385
176,"(7.8e-05, 2.508)","(7.8e-05, 2.992)",170.0,1.141415,25856,25860
177,"(8.1e-05, 2.508)","(8.1e-05, 2.992)",180.0,1.113704,419,423
178,"(8.4e-05, 2.508)","(8.4e-05, 2.992)",190.0,1.079699,3616,3620
179,"(8.7e-05, 2.508)","(8.7e-05, 2.992)",200.0,1.053846,6952,6956
180,"(3.5e-05, 2.508)","(3.5e-05, 2.992)",10.0,1.089444,27802,27806
181,"(3.9e-05, 2.508)","(3.9e-05, 2.992)",20.0,1.176747,12651,12655
182,"(4.3e-05, 2.508)","(4.3e-05, 2.992)",30.0,1.272582,26690,26694
183,"(4.7e-05, 2.508)","(4.7e-05, 2.992)",40.0,1.338621,11678,11682
184,"(5.1e-05, 2.508)","(5.1e-05, 2.992)",50.0,1.402536,25717,25721
185,"(5.4e-05, 2.508)","(5.4e-05, 2.992)",60.0,1.440149,280,284
186,"(5.7e-05, 2.508)","(5.7e-05, 2.992)",70.0,1.480385,3477,3481
187,"(5.9e-05, 2.508)","(5.9e-05, 2.992)",80.0,1.499063,24605,24609
188,"(6.1e-05, 2.508)","(6.1e-05, 2.992)",90.0,1.518492,16821,16825
189,"(6.3e-05, 2.508)","(6.3e-05, 2.992)",100.0,1.465385,9732,9736
190,"(6.4e-05, 2.508)","(6.4e-05, 2.992)",110.0,1.404259,20018,20022
191,"(6.6e-05, 2.508)","(6.6e-05, 2.992)",120.0,1.357266,12790,12794
192,"(6.8e-05, 2.508)","(6.8e-05, 2.992)",130.0,1.312622,5701,5705
193,"(7.1e-05, 2.508)","(7.1e-05, 2.992)",140.0,1.261081,8759,8763
194,"(7.3e-05, 2.508)","(7.3e-05, 2.992)",150.0,1.229636,1392,1396
195,"(7.5e-05, 2.508)","(7.5e-05, 2.992)",160.0,1.190968,22381,22385
196,"(7.8e-05, 2.508)","(7.8e-05, 2.992)",170.0,1.153994,25856,25860
197,"(8.1e-05, 2.508)","(8.1e-05, 2.992)",180.0,1.126049,419,423
198,"(8.4e-05, 2.508)","(8.4e-05, 2.992)",190.0,1.091747,3616,3620
199,"(8.7e-05, 2.508)","(8.7e-05, 2.992)",200.0,1.06568,6952,6956
200,"(9.9e-05, 2.992)","(9.9e-05, 3.256)",10.0,1.121984,19049,19048
201,"(9.7e-05, 2.992)","(9.7e-05, 3.256)",20.0,1.126,26972,26971
202,"(9.5e-05, 2.992)","(9.5e-05, 3.256)",30.0,1.121,5844,5843
203,"(9.4e-05, 2.992)","(9.4e-05, 3.256)",40.0,1.106984,23636,23635
204,"(9.4e-05, 2.992)","(9.4e-05, 3.256)",50.0,1.084375,23636,23635
205,"(9.5e-05, 2.992)","(9.5e-05, 3.256)",60.0,1.053969,5844,5843
206,"(9.7e-05, 2.992)","(9.7e-05, 3.256)",70.0,1.016852,26972,26971
207,"(9.9e-05, 2.992)","(9.9e-05, 3.256)",80.0,0.988986,19049,19048
208,"(0.000103, 2.992)","(0.000103, 3.256)",90.0,-0.045,4732,4731
209,"(0.000106, 2.992)","(0.000106, 3.256)",100.0,-1.078169,7929,7928
210,"(0.00011, 2.992)","(0.00011, 3.256)",110.0,-1.104296,21412,21411
211,"(0.000115, 2.992)","(0.000115, 3.256)",120.0,-1.130423,17103,17102
212,"(0.00012, 2.992)","(0.00012, 3.256)",130.0,-1.156549,13072,13071
213,"(0.000125, 2.992)","(0.000125, 3.256)",140.0,-1.182676,9041,9040
214,"(0.00013, 2.992)","(0.00013, 3.256)",150.0,-1.208803,4871,4870
215,"(0.000135, 2.992)","(0.000135, 3.256)",160.0,-1.227887,701,700
216,"(0.000141, 2.992)","(0.000141, 3.256)",170.0,-1.261056,7234,7233
217,"(0.000146, 2.992)","(0.000146, 3.256)",180.0,-1.287183,2925,2924
218,"(0.000152, 2.992)","(0.000152, 3.256)",190.0,-1.320352,9180,9179
219,"(0.000158, 2.992)","(0.000158, 3.256)",200.0,-1.346479,15296,15295
220,"(9.9e-05, 2.992)","(9.9e-05, 3.256)",10.0,1.139144,19049,19048
221,"(9.7e-05, 2.992)","(9.7e-05, 3.256)",20.0,1.134144,26972,26971
222,"(9.5e-05, 2.992)","(9.5e-05, 3.256)",30.0,1.108894,5844,5843
223,"(9.4e-05, 2.992)","(9.4e-05, 3.256)",40.0,1.074828,23636,23635
224,"(9.4e-05, 2.992)","(9.4e-05, 3.256)",50.0,1.042227,23636,23635
225,"(9.5e-05, 2.992)","(9.5e-05, 3.256)",60.0,1.010984,5844,5843
226,"(9.7e-05, 2.992)","(9.7e-05, 3.256)",70.0,0.972937,26972,26971
227,"(9.9e-05, 2.992)","(9.9e-05, 3.256)",80.0,-1.063622,19049,19048
228,"(0.000103, 2.992)","(0.000103, 3.256)",90.0,-1.100118,4732,4731
229,"(0.000106, 2.992)","(0.000106, 3.256)",100.0,-1.136614,7929,7928
230,"(0.00011, 2.992)","(0.00011, 3.256)",110.0,-1.180984,21412,21411
231,"(0.000115, 2.992)","(0.000115, 3.256)",120.0,-1.21748,17103,17102
232,"(0.00012, 2.992)","(0.00012, 3.256)",130.0,-1.26185,13072,13071
233,"(0.000125, 2.992)","(0.000125, 3.256)",140.0,-1.298346,9041,9040
234,"(0.00013, 2.992)","(0.00013, 3.256)",150.0,-1.334843,4871,4870
235,"(0.000135, 2.992)","(0.000135, 3.256)",160.0,-1.363465,701,700
236,"(0.000141, 2.992)","(0.000141, 3.256)",170.0,-1.399961,7234,7233
237,"(0.000146, 2.992)","(0.000146, 3.256)",180.0,-1.428583,2925,2924
238,"(0.000152, 2.992)","(0.000152, 3.256)",190.0,-1.465079,9180,9179
239,"(0.000158, 2.992)","(0.000158, 3.256)",200.0,-1.493701,15296,15295
240,"(9.9e-05, 2.992)","(9.9e-05, 3.256)",10.0,1.109504,19049,19048
241,"(9.7e-05, 2.992)","(9.7e-05, 3.256)",20.0,1.130625,26972,26971
242,"(9.5e-05, 2.992)","(9.5e-05, 3.256)",30.0,1.125625,5844,5843
243,"(9.4e-05, 2.992)","(9.4e-05, 3.256)",40.0,1.111783,23636,23635
244,"(9.4e-05, 2.992)","(9.4e-05, 3.256)",50.0,1.098077,23636,23635
245,"(9.5e-05, 2.992)","(9.5e-05, 3.256)",60.0,1.067744,5844,5843
246,"(9.7e-05, 2.992)","(9.7e-05, 3.256)",70.0,1.030693,26972,26971
247,"(9.9e-05, 2.992)","(9.9e-05, 3.256)",80.0,1.002857,19049,19048
248,"(0.000103, 2.992)","(0.000103, 3.256)",90.0,0.968889,4732,4731
249,"(0.000106, 2.992)","(0.000106, 3.256)",100.0,-1.063699,7929,7928
250,"(0.00011, 2.992)","(0.00011, 3.256)",110.0,-1.089247,21412,21411
251,"(0.000115, 2.992)","(0.000115, 3.256)",120.0,-1.121644,17103,17102
252,"(0.00012, 2.992)","(0.00012, 3.256)",130.0,-1.147192,13072,13071
253,"(0.000125, 2.992)","(0.000125, 3.256)",140.0,-1.17274,9041,9040
254,"(0.00013, 2.992)","(0.00013, 3.256)",150.0,-1.191438,4871,4870
255,"(0.000135, 2.992)","(0.000135, 3.256)",160.0,-1.216986,701,700
256,"(0.000141, 2.992)","(0.000141, 3.256)",170.0,-1.235685,7234,7233
257,"(0.000146, 2.992)","(0.000146, 3.256)",180.0,-1.254384,2925,2924
258,"(0.000152, 2.992)","(0.000152, 3.256)",190.0,-1.286781,9180,9179
259,"(0.000158, 2.992)","(0.000158, 3.256)",200.0,-1.312329,15296,15295
260,"(8.4e-05, 3.256)","(8.4e-05, 2.156)",10.0,1.127948,3619,3621
261,"(8.4e-05, 3.256)","(8.4e-05, 2.156)",20.0,1.24641,3619,3621
262,"(8.5e-05, 3.256)","(8.5e-05, 2.156)",30.0,1.355629,13905,13907
263,"(8.6e-05, 3.256)","(8.6e-05, 2.156)",40.0,1.487692,24747,24749
264,"(8.7e-05, 3.256)","(8.7e-05, 2.156)",50.0,1.555645,6955,6957
265,"(8.9e-05, 3.256)","(8.9e-05, 2.156)",60.0,1.550645,28083,28085
266,"(9.1e-05, 3.256)","(9.1e-05, 2.156)",70.0,1.545645,20160,20162
267,"(9.2e-05, 3.256)","(9.2e-05, 2.156)",80.0,1.540645,2646,2648
268,"(9.3e-05, 3.256)","(9.3e-05, 2.156)",90.0,1.535645,12932,12934
269,"(9.4e-05, 3.256)","(9.4e-05, 2.156)",100.0,1.530645,23635,23637
270,"(9.4e-05, 3.256)","(9.4e-05, 2.156)",110.0,1.525645,23635,23637
271,"(9.4e-05, 3.256)","(9.4e-05, 2.156)",120.0,1.520645,23635,23637
272,"(9.3e-05, 3.256)","(9.3e-05, 2.156)",130.0,1.515645,12932,12934
273,"(9.3e-05, 3.256)","(9.3e-05, 2.156)",140.0,1.510645,12932,12934
274,"(9.3e-05, 3.256)","(9.3e-05, 2.156)",150.0,1.505645,12932,12934
275,"(9.4e-05, 3.256)","(9.4e-05, 2.156)",160.0,1.500645,23635,23637
276,"(9.5e-05, 3.256)","(9.5e-05, 2.156)",170.0,1.458307,5843,5845
277,"(9.6e-05, 3.256)","(9.6e-05, 2.156)",180.0,1.417692,15990,15992
278,"(9.7e-05, 3.256)","(9.7e-05, 2.156)",190.0,1.367687,26971,26973
279,"(9.9e-05, 3.256)","(9.9e-05, 2.156)",200.0,1.330657,19048,19050
280,"(8.4e-05, 3.256)","(8.4e-05, 2.156)",10.0,1.125435,3619,3621
281,"(8.4e-05, 3.256)","(8.4e-05, 2.156)",20.0,1.228095,3619,3621
282,"(8.5e-05, 3.256)","(8.5e-05, 2.156)",30.0,1.323235,13905,13907
283,"(8.6e-05, 3.256)","(8.6e-05, 2.156)",40.0,1.459675,24747,24749
284,"(8.7e-05, 3.256)","(8.7e-05, 2.156)",50.0,1.530556,6955,6957
285,"(8.9e-05, 3.256)","(8.9e-05, 2.156)",60.0,1.580619,28083,28085
286,"(9.1e-05, 3.256)","(9.1e-05, 2.156)",70.0,1.619545,20160,20162
287,"(9.2e-05, 3.256)","(9.2e-05, 2.156)",80.0,1.629725,2646,2648
288,"(9.3e-05, 3.256)","(9.3e-05, 2.156)",90.0,1.640185,12932,12934
289,"(9.4e-05, 3.256)","(9.4e-05, 2.156)",100.0,1.635185,23635,23637
290,"(9.4e-05, 3.256)","(9.4e-05, 2.156)",110.0,1.630185,23635,23637
291,"(9.4e-05, 3.256)","(9.4e-05, 2.156)",120.0,1.609725,23635,23637
292,"(9.3e-05, 3.256)","(9.3e-05, 2.156)",130.0,1.56,12932,12934
293,"(9.3e-05, 3.256)","(9.3e-05, 2.156)",140.0,1.498966,12932,12934
294,"(9.3e-05, 3.256)","(9.3e-05, 2.156)",150.0,1.441667,12932,12934
295,"(9.4e-05, 3.256)","(9.4e-05, 2.156)",160.0,1.399675,23635,23637
296,"(9.5e-05, 3.256)","(9.5e-05, 2.156)",170.0,1.348071,5843,5845
297,"(9.6e-05, 3.256)","(9.6e-05, 2.156)",180.0,1.31,15990,15992
298,"(9.7e-05, 3.256)","(9.7e-05, 2.156)",190.0,1.263209,26971,26973
299,"(9.9e-05, 3.256)","(9.9e-05, 2.156)",200.0,1.228467,19048,19050
300,"(8.4e-05, 3.256)","(8.4e-05, 2.156)",10.0,1.123205,3619,3621
301,"(8.4e-05, 3.256)","(8.4e-05, 2.156)",20.0,1.212222,3619,3621
302,"(8.5e-05, 3.256)","(8.5e-05, 2.156)",30.0,1.318333,13905,13907
303,"(8.6e-05, 3.256)","(8.6e-05, 2.156)",40.0,1.422623,24747,24749
304,"(8.7e-05, 3.256)","(8.7e-05, 2.156)",50.0,1.492241,6955,6957
305,"(8.9e-05, 3.256)","(8.9e-05, 2.156)",60.0,1.541429,28083,28085
306,"(9.1e-05, 3.256)","(9.1e-05, 2.156)",70.0,1.565,20160,20162
307,"(9.2e-05, 3.256)","(9.2e-05, 2.156)",80.0,1.574679,2646,2648
308,"(9.3e-05, 3.256)","(9.3e-05, 2.156)",90.0,1.58463,12932,12934
309,"(9.4e-05, 3.256)","(9.4e-05, 2.156)",100.0,1.57963,23635,23637
310,"(9.4e-05, 3.256)","(9.4e-05, 2.156)",110.0,1.57463,23635,23637
311,"(9.4e-05, 3.256)","(9.4e-05, 2.156)",120.0,1.554679,23635,23637
312,"(9.3e-05, 3.256)","(9.3e-05, 2.156)",130.0,1.506429,12932,12934
