,state,state_p,act,r_disp,s,s_p
14167,"(5.9e-05, 2.728)","(5.9e-05, 2.992)",80.0,1.061351,24725,24609
14168,"(6.1e-05, 2.728)","(6.1e-05, 2.992)",90.0,1.03447,16941,16825
14169,"(6.3e-05, 2.728)","(6.3e-05, 2.992)",100.0,1.008442,9852,9736
14170,"(6.4e-05, 2.728)","(6.4e-05, 2.992)",110.0,0.983217,20138,20022
14171,"(6.6e-05, 2.728)","(6.6e-05, 2.992)",120.0,0.95875,12910,12794
14172,"(6.8e-05, 2.728)","(6.8e-05, 2.992)",130.0,0.941173,5821,5705
14173,"(7.1e-05, 2.728)","(7.1e-05, 2.992)",140.0,-1.08227,8879,8763
14174,"(7.3e-05, 2.728)","(7.3e-05, 2.992)",150.0,-1.105675,1512,1396
14175,"(7.5e-05, 2.728)","(7.5e-05, 2.992)",160.0,-1.122945,22501,22385
14176,"(7.8e-05, 2.728)","(7.8e-05, 2.992)",170.0,-1.140215,25976,25860
14177,"(8.1e-05, 2.728)","(8.1e-05, 2.992)",180.0,-1.157485,539,423
14178,"(8.4e-05, 2.728)","(8.4e-05, 2.992)",190.0,-1.174755,3736,3620
14179,"(8.7e-05, 2.728)","(8.7e-05, 2.992)",200.0,-1.192025,7072,6956
14180,"(7.5e-05, 2.992)","(7.5e-05, 0.484)",10.0,1.161667,22385,22379
14181,"(7.4e-05, 2.992)","(7.4e-05, 0.484)",20.0,1.19202,11821,11815
14182,"(7.4e-05, 2.992)","(7.4e-05, 0.484)",30.0,1.18702,11821,11815
14183,"(7.4e-05, 2.992)","(7.4e-05, 0.484)",40.0,1.18202,11821,11815
14184,"(7.5e-05, 2.992)","(7.5e-05, 0.484)",50.0,1.17702,22385,22379
14185,"(7.5e-05, 2.992)","(7.5e-05, 0.484)",60.0,1.17202,22385,22379
14186,"(7.5e-05, 2.992)","(7.5e-05, 0.484)",70.0,1.16702,22385,22379
14187,"(7.6e-05, 2.992)","(7.6e-05, 0.484)",80.0,1.16202,4593,4587
14188,"(7.6e-05, 2.992)","(7.6e-05, 0.484)",90.0,1.15702,4593,4587
14189,"(7.7e-05, 2.992)","(7.7e-05, 0.484)",100.0,1.15202,14879,14873
14190,"(7.7e-05, 2.992)","(7.7e-05, 0.484)",110.0,1.14702,14879,14873
14191,"(7.7e-05, 2.992)","(7.7e-05, 0.484)",120.0,1.14202,14879,14873
14192,"(7.8e-05, 2.992)","(7.8e-05, 0.484)",130.0,1.13702,25860,25854
14193,"(7.7e-05, 2.992)","(7.7e-05, 0.484)",140.0,1.144286,14879,14873
14194,"(7.7e-05, 2.992)","(7.7e-05, 0.484)",150.0,1.139286,14879,14873
14195,"(7.7e-05, 2.992)","(7.7e-05, 0.484)",160.0,1.134286,14879,14873
14196,"(7.6e-05, 2.992)","(7.6e-05, 0.484)",170.0,1.129286,4593,4587
14197,"(7.5e-05, 2.992)","(7.5e-05, 0.484)",180.0,1.124286,22385,22379
14198,"(7.5e-05, 2.992)","(7.5e-05, 0.484)",190.0,1.119286,22385,22379
14199,"(7.4e-05, 2.992)","(7.4e-05, 0.484)",200.0,1.10202,11821,11815
14200,"(7.5e-05, 2.992)","(7.5e-05, 0.484)",10.0,1.264231,22385,22379
14201,"(7.4e-05, 2.992)","(7.4e-05, 0.484)",20.0,1.31,11821,11815
14202,"(7.4e-05, 2.992)","(7.4e-05, 0.484)",30.0,1.318333,11821,11815
14203,"(7.4e-05, 2.992)","(7.4e-05, 0.484)",40.0,1.313333,11821,11815
14204,"(7.5e-05, 2.992)","(7.5e-05, 0.484)",50.0,1.308333,22385,22379
14205,"(7.5e-05, 2.992)","(7.5e-05, 0.484)",60.0,1.303333,22385,22379
14206,"(7.5e-05, 2.992)","(7.5e-05, 0.484)",70.0,1.298333,22385,22379
14207,"(7.6e-05, 2.992)","(7.6e-05, 0.484)",80.0,1.293333,4593,4587
14208,"(7.6e-05, 2.992)","(7.6e-05, 0.484)",90.0,1.288333,4593,4587
14209,"(7.7e-05, 2.992)","(7.7e-05, 0.484)",100.0,1.283333,14879,14873
14210,"(7.7e-05, 2.992)","(7.7e-05, 0.484)",110.0,1.278333,14879,14873
14211,"(7.7e-05, 2.992)","(7.7e-05, 0.484)",120.0,1.286939,14879,14873
14212,"(7.8e-05, 2.992)","(7.8e-05, 0.484)",130.0,1.281939,25860,25854
14213,"(7.7e-05, 2.992)","(7.7e-05, 0.484)",140.0,1.276939,14879,14873
14214,"(7.7e-05, 2.992)","(7.7e-05, 0.484)",150.0,1.271939,14879,14873
14215,"(7.7e-05, 2.992)","(7.7e-05, 0.484)",160.0,1.253333,14879,14873
14216,"(7.6e-05, 2.992)","(7.6e-05, 0.484)",170.0,1.248333,4593,4587
14217,"(7.5e-05, 2.992)","(7.5e-05, 0.484)",180.0,1.243333,22385,22379
14218,"(7.5e-05, 2.992)","(7.5e-05, 0.484)",190.0,1.238333,22385,22379
14219,"(7.4e-05, 2.992)","(7.4e-05, 0.484)",200.0,1.233333,11821,11815
14220,"(7.5e-05, 2.992)","(7.5e-05, 0.484)",10.0,1.245,22385,22379
14221,"(7.4e-05, 2.992)","(7.4e-05, 0.484)",20.0,1.29,11821,11815
14222,"(7.4e-05, 2.992)","(7.4e-05, 0.484)",30.0,1.298131,11821,11815
14223,"(7.4e-05, 2.992)","(7.4e-05, 0.484)",40.0,1.293131,11821,11815
14224,"(7.5e-05, 2.992)","(7.5e-05, 0.484)",50.0,1.288131,22385,22379
14225,"(7.5e-05, 2.992)","(7.5e-05, 0.484)",60.0,1.283131,22385,22379
14226,"(7.5e-05, 2.992)","(7.5e-05, 0.484)",70.0,1.278131,22385,22379
14227,"(7.6e-05, 2.992)","(7.6e-05, 0.484)",80.0,1.273131,4593,4587
14228,"(7.6e-05, 2.992)","(7.6e-05, 0.484)",90.0,1.268131,4593,4587
14229,"(7.7e-05, 2.992)","(7.7e-05, 0.484)",100.0,1.263131,14879,14873
14230,"(7.7e-05, 2.992)","(7.7e-05, 0.484)",110.0,1.258131,14879,14873
14231,"(7.7e-05, 2.992)","(7.7e-05, 0.484)",120.0,1.266531,14879,14873
14232,"(7.8e-05, 2.992)","(7.8e-05, 0.484)",130.0,1.261531,25860,25854
14233,"(7.7e-05, 2.992)","(7.7e-05, 0.484)",140.0,1.256531,14879,14873
14234,"(7.7e-05, 2.992)","(7.7e-05, 0.484)",150.0,1.251531,14879,14873
14235,"(7.7e-05, 2.992)","(7.7e-05, 0.484)",160.0,1.233131,14879,14873
14236,"(7.6e-05, 2.992)","(7.6e-05, 0.484)",170.0,1.228131,4593,4587
14237,"(7.5e-05, 2.992)","(7.5e-05, 0.484)",180.0,1.223131,22385,22379
14238,"(7.5e-05, 2.992)","(7.5e-05, 0.484)",190.0,1.218131,22385,22379
14239,"(7.4e-05, 2.992)","(7.4e-05, 0.484)",200.0,1.213131,11821,11815
14240,"(4.8e-05, 0.484)","(4.8e-05, 0.44)",10.0,1.26951,22240,22287
14241,"(4.8e-05, 0.484)","(4.8e-05, 0.44)",20.0,1.303131,22240,22287
14242,"(4.9e-05, 0.484)","(4.9e-05, 0.44)",30.0,1.298131,4448,4495
14243,"(4.9e-05, 0.484)","(4.9e-05, 0.44)",40.0,1.293131,4448,4495
14244,"(4.9e-05, 0.484)","(4.9e-05, 0.44)",50.0,1.288131,4448,4495
14245,"(4.9e-05, 0.484)","(4.9e-05, 0.44)",60.0,1.283131,4448,4495
14246,"(4.9e-05, 0.484)","(4.9e-05, 0.44)",70.0,1.278131,4448,4495
14247,"(4.8e-05, 0.484)","(4.8e-05, 0.44)",80.0,1.273131,22240,22287
14248,"(4.7e-05, 0.484)","(4.7e-05, 0.44)",90.0,1.281531,11676,11723
14249,"(4.7e-05, 0.484)","(4.7e-05, 0.44)",100.0,1.276531,11676,11723
14250,"(4.6e-05, 0.484)","(4.6e-05, 0.44)",110.0,1.271531,1251,1298
14251,"(4.6e-05, 0.484)","(4.6e-05, 0.44)",120.0,1.253131,1251,1298
14252,"(4.5e-05, 0.484)","(4.5e-05, 0.44)",130.0,1.248131,18765,18812
14253,"(4.5e-05, 0.484)","(4.5e-05, 0.44)",140.0,1.243131,18765,18812
14254,"(4.5e-05, 0.484)","(4.5e-05, 0.44)",150.0,1.238131,18765,18812
14255,"(4.5e-05, 0.484)","(4.5e-05, 0.44)",160.0,1.233131,18765,18812
14256,"(4.6e-05, 0.484)","(4.6e-05, 0.44)",170.0,1.228131,1251,1298
14257,"(4.6e-05, 0.484)","(4.6e-05, 0.44)",180.0,1.223131,1251,1298
14258,"(4.7e-05, 0.484)","(4.7e-05, 0.44)",190.0,1.231531,11676,11723
14259,"(4.8e-05, 0.484)","(4.8e-05, 0.44)",200.0,1.226531,22240,22287
14260,"(4.8e-05, 0.484)","(4.8e-05, 0.44)",10.0,1.257136,22240,22287
14300,"(4.8e-05, 0.44)","(4.8e-05, 0.44)",10.0,1.163317,22287,22287
14301,"(4.8e-05, 0.44)","(4.8e-05, 0.44)",20.0,1.181919,22287,22287
14302,"(4.9e-05, 0.44)","(4.9e-05, 0.44)",30.0,1.176919,4495,4495
14303,"(4.9e-05, 0.44)","(4.9e-05, 0.44)",40.0,1.171919,4495,4495
14304,"(4.9e-05, 0.44)","(4.9e-05, 0.44)",50.0,1.166919,4495,4495
14305,"(4.9e-05, 0.44)","(4.9e-05, 0.44)",60.0,1.161919,4495,4495
14306,"(4.9e-05, 0.44)","(4.9e-05, 0.44)",70.0,1.156919,4495,4495
14307,"(4.8e-05, 0.44)","(4.8e-05, 0.44)",80.0,1.151919,22287,22287
14308,"(4.7e-05, 0.44)","(4.7e-05, 0.44)",90.0,1.159082,11723,11723
14309,"(4.7e-05, 0.44)","(4.7e-05, 0.44)",100.0,1.154082,11723,11723
14310,"(4.6e-05, 0.44)","(4.6e-05, 0.44)",110.0,1.149082,1298,1298
14311,"(4.6e-05, 0.44)","(4.6e-05, 0.44)",120.0,1.144082,1298,1298
14312,"(4.5e-05, 0.44)","(4.5e-05, 0.44)",130.0,1.139082,18812,18812
14313,"(4.5e-05, 0.44)","(4.5e-05, 0.44)",140.0,1.121919,18812,18812
14314,"(4.5e-05, 0.44)","(4.5e-05, 0.44)",150.0,1.116919,18812,18812
14315,"(4.5e-05, 0.44)","(4.5e-05, 0.44)",160.0,1.111919,18812,18812
14316,"(4.6e-05, 0.44)","(4.6e-05, 0.44)",170.0,1.106919,1298,1298
14317,"(4.6e-05, 0.44)","(4.6e-05, 0.44)",180.0,1.101919,1298,1298
14318,"(4.7e-05, 0.44)","(4.7e-05, 0.44)",190.0,1.096919,11723,11723
14319,"(4.8e-05, 0.44)","(4.8e-05, 0.44)",200.0,1.091919,22287,22287
14320,"(4.8e-05, 0.44)","(4.8e-05, 0.44)",10.0,1.173218,22287,22287
14321,"(4.8e-05, 0.44)","(4.8e-05, 0.44)",20.0,1.19202,22287,22287
14322,"(4.9e-05, 0.44)","(4.9e-05, 0.44)",30.0,1.18702,4495,4495
14323,"(4.9e-05, 0.44)","(4.9e-05, 0.44)",40.0,1.18202,4495,4495
14324,"(4.9e-05, 0.44)","(4.9e-05, 0.44)",50.0,1.17702,4495,4495
14325,"(4.9e-05, 0.44)","(4.9e-05, 0.44)",60.0,1.17202,4495,4495
14326,"(4.9e-05, 0.44)","(4.9e-05, 0.44)",70.0,1.16702,4495,4495
14327,"(4.8e-05, 0.44)","(4.8e-05, 0.44)",80.0,1.16202,22287,22287
14328,"(4.7e-05, 0.44)","(4.7e-05, 0.44)",90.0,1.169286,11723,11723
14329,"(4.7e-05, 0.44)","(4.7e-05, 0.44)",100.0,1.164286,11723,11723
14330,"(4.6e-05, 0.44)","(4.6e-05, 0.44)",110.0,1.159286,1298,1298
14331,"(4.6e-05, 0.44)","(4.6e-05, 0.44)",120.0,1.154286,1298,1298
14332,"(4.5e-05, 0.44)","(4.5e-05, 0.44)",130.0,1.149286,18812,18812
14333,"(4.5e-05, 0.44)","(4.5e-05, 0.44)",140.0,1.13202,18812,18812
14334,"(4.5e-05, 0.44)","(4.5e-05, 0.44)",150.0,1.12702,18812,18812
14335,"(4.5e-05, 0.44)","(4.5e-05, 0.44)",160.0,1.12202,18812,18812
14336,"(4.6e-05, 0.44)","(4.6e-05, 0.44)",170.0,1.11702,1298,1298
14337,"(4.6e-05, 0.44)","(4.6e-05, 0.44)",180.0,1.11202,1298,1298
14338,"(4.7e-05, 0.44)","(4.7e-05, 0.44)",190.0,1.10702,11723,11723
14339,"(4.8e-05, 0.44)","(4.8e-05, 0.44)",200.0,1.10202,22287,22287
14360,"(7.2e-05, 0.44)","(7.2e-05, 0.66)",10.0,1.174245,18951,18981
14361,"(7.2e-05, 0.44)","(7.2e-05, 0.66)",20.0,1.227624,18951,18981
14362,"(7.3e-05, 0.44)","(7.3e-05, 0.66)",30.0,1.235,1437,1467
14363,"(7.4e-05, 0.44)","(7.4e-05, 0.66)",40.0,1.242626,11862,11892
14364,"(7.4e-05, 0.44)","(7.4e-05, 0.66)",50.0,1.237626,11862,11892
14365,"(7.5e-05, 0.44)","(7.5e-05, 0.66)",60.0,1.232626,22426,22456
14366,"(7.5e-05, 0.44)","(7.5e-05, 0.66)",70.0,1.227626,22426,22456
14367,"(7.6e-05, 0.44)","(7.6e-05, 0.66)",80.0,1.222626,4634,4664
14368,"(7.6e-05, 0.44)","(7.6e-05, 0.66)",90.0,1.217626,4634,4664
14369,"(7.7e-05, 0.44)","(7.7e-05, 0.66)",100.0,1.212626,14920,14950
14370,"(7.7e-05, 0.44)","(7.7e-05, 0.66)",110.0,1.207626,14920,14950
14371,"(7.8e-05, 0.44)","(7.8e-05, 0.66)",120.0,1.202626,25901,25931
14372,"(7.8e-05, 0.44)","(7.8e-05, 0.66)",130.0,1.197626,25901,25931
14373,"(7.8e-05, 0.44)","(7.8e-05, 0.66)",140.0,1.192626,25901,25931
14374,"(7.9e-05, 0.44)","(7.9e-05, 0.66)",150.0,1.187626,7831,7861
14375,"(7.9e-05, 0.44)","(7.9e-05, 0.66)",160.0,1.182626,7831,7861
14376,"(8e-05, 0.44)","(8e-05, 0.66)",170.0,1.177626,17978,18008
14377,"(8e-05, 0.44)","(8e-05, 0.66)",180.0,1.172626,17978,18008
14378,"(8e-05, 0.44)","(8e-05, 0.66)",190.0,1.167626,17978,18008
14379,"(8.1e-05, 0.44)","(8.1e-05, 0.66)",200.0,1.162626,464,494
14380,"(7.2e-05, 0.44)","(7.2e-05, 0.66)",10.0,1.164811,18951,18981
14381,"(7.2e-05, 0.44)","(7.2e-05, 0.66)",20.0,1.217723,18951,18981
14382,"(7.3e-05, 0.44)","(7.3e-05, 0.66)",30.0,1.225,1437,1467
14383,"(7.4e-05, 0.44)","(7.4e-05, 0.66)",40.0,1.232525,11862,11892
14384,"(7.4e-05, 0.44)","(7.4e-05, 0.66)",50.0,1.227525,11862,11892
14385,"(7.5e-05, 0.44)","(7.5e-05, 0.66)",60.0,1.222525,22426,22456
14386,"(7.5e-05, 0.44)","(7.5e-05, 0.66)",70.0,1.217525,22426,22456
14387,"(7.6e-05, 0.44)","(7.6e-05, 0.66)",80.0,1.212525,4634,4664
14388,"(7.6e-05, 0.44)","(7.6e-05, 0.66)",90.0,1.207525,4634,4664
14389,"(7.7e-05, 0.44)","(7.7e-05, 0.66)",100.0,1.202525,14920,14950
14390,"(7.7e-05, 0.44)","(7.7e-05, 0.66)",110.0,1.197525,14920,14950
14391,"(7.8e-05, 0.44)","(7.8e-05, 0.66)",120.0,1.192525,25901,25931
14392,"(7.8e-05, 0.44)","(7.8e-05, 0.66)",130.0,1.187525,25901,25931
14393,"(7.8e-05, 0.44)","(7.8e-05, 0.66)",140.0,1.182525,25901,25931
14394,"(7.9e-05, 0.44)","(7.9e-05, 0.66)",150.0,1.177525,7831,7861
