,state,state_p,act,r_vel,s,s_p
0,"(0.0, 0.0)","(5e-06, 2.86)",10.0,-0.005,25,11818
1,"(0.0, 0.0)","(1.8e-05, 2.86)",20.0,-0.01,25,9038
2,"(0.0, 0.0)","(2.5e-05, 2.86)",30.0,-0.015,25,3339
3,"(0.0, 0.0)","(2.6e-05, 2.86)",40.0,-0.02,25,50321
4,"(0.0, 0.0)","(2.2e-05, 2.86)",50.0,-1.053169,25,29332
5,"(0.0, 0.0)","(1.4e-05, 2.86)",60.0,-1.142676,25,43788
6,"(0.0, 0.0)","(4e-06, 2.86)",70.0,-1.232183,25,20575
7,"(0.0, 0.0)","(2e-06, 2.86)",80.0,-1.32169,25,37394
8,"(0.0, 0.0)","(7e-06, 2.86)",90.0,-1.404155,25,49626
9,"(0.0, 0.0)","(1.2e-05, 2.86)",100.0,-1.48662,25,5841
10,"(0.0, 0.0)","(1.8e-05, 2.86)",110.0,-1.562042,25,9038
11,"(0.0, 0.0)","(2.2e-05, 2.86)",120.0,-1.637465,25,29332
12,"(0.0, 0.0)","(2.6e-05, 2.86)",130.0,-1.705845,25,50321
13,"(0.0, 0.0)","(3e-05, 2.86)",140.0,-1.774225,25,15432
14,"(0.0, 0.0)","(3.5e-05, 2.86)",150.0,-1.842606,25,26830
15,"(0.0, 0.0)","(3.8e-05, 2.86)",160.0,-1.910986,25,976
16,"(0.0, 0.0)","(4.1e-05, 2.86)",170.0,-1.972324,25,29888
17,"(0.0, 0.0)","(4.4e-05, 2.86)",180.0,-2.040704,25,4034
18,"(0.0, 0.0)","(4.7e-05, 2.86)",190.0,-2.102042,25,32807
19,"(0.0, 0.0)","(5e-05, 2.86)",200.0,-2.16338,25,6953
20,"(9.4e-05, 2.86)","(9.4e-05, 3.08)",10.0,1.113329,11401,11402
21,"(0.00011, 2.86)","(0.00011, 3.08)",20.0,1.238705,37672,37673
22,"(0.000124, 2.86)","(0.000124, 3.08)",30.0,1.390248,26552,26553
23,"(0.000135, 2.86)","(0.000135, 3.08)",40.0,1.510159,41425,41426
24,"(0.00014, 2.86)","(0.00014, 3.08)",50.0,1.660315,53657,53658
25,"(0.000138, 2.86)","(0.000138, 3.08)",60.0,1.729124,15710,15711
26,"(0.000129, 2.86)","(0.000129, 3.08)",70.0,1.770243,38367,38368
27,"(0.000112, 2.86)","(0.000112, 3.08)",80.0,1.765243,20853,20854
28,"(9.3e-05, 2.86)","(9.3e-05, 3.08)",90.0,1.753507,20158,20159
29,"(8e-05, 2.86)","(8e-05, 3.08)",100.0,1.715568,22799,22800
30,"(7.9e-05, 2.86)","(7.9e-05, 3.08)",110.0,1.65422,31000,31001
31,"(7.8e-05, 2.86)","(7.8e-05, 3.08)",120.0,1.60782,39479,39480
32,"(7.6e-05, 2.86)","(7.6e-05, 3.08)",130.0,1.557896,1949,1950
33,"(7.6e-05, 2.86)","(7.6e-05, 3.08)",140.0,1.510328,1949,1950
34,"(7.5e-05, 2.86)","(7.5e-05, 3.08)",150.0,1.479839,10845,10846
35,"(7.4e-05, 2.86)","(7.4e-05, 3.08)",160.0,1.445316,19602,19603
36,"(7.3e-05, 2.86)","(7.3e-05, 3.08)",170.0,1.411894,27942,27943
37,"(7.3e-05, 2.86)","(7.3e-05, 3.08)",180.0,1.379512,27942,27943
38,"(7.3e-05, 2.86)","(7.3e-05, 3.08)",190.0,1.356807,27942,27943
39,"(7.2e-05, 2.86)","(7.2e-05, 3.08)",200.0,1.330267,36421,36422
40,"(9.4e-05, 2.86)","(9.4e-05, 3.08)",10.0,1.103434,11401,11402
41,"(0.00011, 2.86)","(0.00011, 3.08)",20.0,1.216667,37672,37673
42,"(0.000124, 2.86)","(0.000124, 3.08)",30.0,1.354048,26552,26553
43,"(0.000135, 2.86)","(0.000135, 3.08)",40.0,1.4591,41425,41426
44,"(0.00014, 2.86)","(0.00014, 3.08)",50.0,1.561207,53657,53658
45,"(0.000138, 2.86)","(0.000138, 3.08)",60.0,1.661176,15710,15711
46,"(0.000129, 2.86)","(0.000129, 3.08)",70.0,1.675037,38367,38368
47,"(0.000112, 2.86)","(0.000112, 3.08)",80.0,1.676418,20853,20854
48,"(9.3e-05, 2.86)","(9.3e-05, 3.08)",90.0,1.671418,20158,20159
49,"(8e-05, 2.86)","(8e-05, 3.08)",100.0,1.622727,22799,22800
50,"(7.9e-05, 2.86)","(7.9e-05, 3.08)",110.0,1.576206,31000,31001
51,"(7.8e-05, 2.86)","(7.8e-05, 3.08)",120.0,1.526207,39479,39480
52,"(7.6e-05, 2.86)","(7.6e-05, 3.08)",130.0,1.494322,1949,1950
53,"(7.6e-05, 2.86)","(7.6e-05, 3.08)",140.0,1.453179,1949,1950
54,"(7.5e-05, 2.86)","(7.5e-05, 3.08)",150.0,1.418506,10845,10846
55,"(7.4e-05, 2.86)","(7.4e-05, 3.08)",160.0,1.384968,19602,19603
56,"(7.3e-05, 2.86)","(7.3e-05, 3.08)",170.0,1.348022,27942,27943
57,"(7.3e-05, 2.86)","(7.3e-05, 3.08)",180.0,1.321043,27942,27943
58,"(7.3e-05, 2.86)","(7.3e-05, 3.08)",190.0,1.294728,27942,27943
59,"(7.2e-05, 2.86)","(7.2e-05, 3.08)",200.0,1.277246,36421,36422
60,"(9.4e-05, 2.86)","(9.4e-05, 3.08)",10.0,1.127114,11401,11402
61,"(0.00011, 2.86)","(0.00011, 3.08)",20.0,1.267523,37672,37673
62,"(0.000124, 2.86)","(0.000124, 3.08)",30.0,1.443115,26552,26553
63,"(0.000135, 2.86)","(0.000135, 3.08)",40.0,1.599186,41425,41426
64,"(0.00014, 2.86)","(0.00014, 3.08)",50.0,1.760256,53657,53658
65,"(0.000138, 2.86)","(0.000138, 3.08)",60.0,1.910767,15710,15711
66,"(0.000129, 2.86)","(0.000129, 3.08)",70.0,1.968597,38367,38368
67,"(0.000112, 2.86)","(0.000112, 3.08)",80.0,2.000293,20853,20854
68,"(9.3e-05, 2.86)","(9.3e-05, 3.08)",90.0,1.973116,20158,20159
69,"(8e-05, 2.86)","(8e-05, 3.08)",100.0,1.918198,22799,22800
70,"(7.9e-05, 2.86)","(7.9e-05, 3.08)",110.0,1.859089,31000,31001
71,"(7.8e-05, 2.86)","(7.8e-05, 3.08)",120.0,1.802876,39479,39480
72,"(7.6e-05, 2.86)","(7.6e-05, 3.08)",130.0,1.755261,1949,1950
73,"(7.6e-05, 2.86)","(7.6e-05, 3.08)",140.0,1.709553,1949,1950
74,"(7.5e-05, 2.86)","(7.5e-05, 3.08)",150.0,1.671082,10845,10846
75,"(7.4e-05, 2.86)","(7.4e-05, 3.08)",160.0,1.628589,19602,19603
76,"(7.3e-05, 2.86)","(7.3e-05, 3.08)",170.0,1.597779,27942,27943
77,"(7.3e-05, 2.86)","(7.3e-05, 3.08)",180.0,1.562819,27942,27943
78,"(7.3e-05, 2.86)","(7.3e-05, 3.08)",190.0,1.533655,27942,27943
79,"(7.2e-05, 2.86)","(7.2e-05, 3.08)",200.0,1.505187,36421,36422
80,"(3.2e-05, 3.08)","(3.2e-05, 2.508)",10.0,-1.0175,53380,53378
81,"(3.6e-05, 3.08)","(3.6e-05, 2.508)",20.0,-1.185,18630,18628
82,"(3.7e-05, 3.08)","(3.7e-05, 2.508)",30.0,-1.34,9595,9593
83,"(3.4e-05, 3.08)","(3.4e-05, 2.508)",40.0,-1.4825,35171,35169
84,"(2.9e-05, 3.08)","(2.9e-05, 2.508)",50.0,-1.6375,24051,24049
85,"(2.2e-05, 3.08)","(2.2e-05, 2.508)",60.0,-1.78,29333,29331
86,"(1.5e-05, 3.08)","(1.5e-05, 2.508)",70.0,-1.9225,34615,34613
87,"(1e-05, 3.08)","(1e-05, 2.508)",80.0,-2.0525,23495,23493
88,"(7e-06, 3.08)","(7e-06, 2.508)",90.0,-2.195,49627,49625
89,"(7e-06, 3.08)","(7e-06, 2.508)",100.0,-2.3125,49627,49625
90,"(7e-06, 3.08)","(7e-06, 2.508)",110.0,-2.4425,49627,49625
91,"(9e-06, 3.08)","(9e-06, 2.508)",120.0,-2.56,31696,31694
92,"(1.1e-05, 3.08)","(1.1e-05, 2.508)",130.0,-2.6775,14877,14875
93,"(1.3e-05, 3.08)","(1.3e-05, 2.508)",140.0,-2.795,52824,52822
94,"(1.5e-05, 3.08)","(1.5e-05, 2.508)",150.0,-2.9,34615,34613
95,"(1.7e-05, 3.08)","(1.7e-05, 2.508)",160.0,-3.005,17935,17933
96,"(1.9e-05, 3.08)","(1.9e-05, 2.508)",170.0,-3.11,421,419
97,"(2.1e-05, 3.08)","(2.1e-05, 2.508)",180.0,-3.215,38090,38088
98,"(2.3e-05, 3.08)","(2.3e-05, 2.508)",190.0,-3.32,21132,21130
99,"(2.5e-05, 3.08)","(2.5e-05, 2.508)",200.0,-3.4125,3340,3338
100,"(3.2e-05, 3.08)","(3.2e-05, 2.508)",10.0,1.091552,53380,53378
101,"(3.6e-05, 3.08)","(3.6e-05, 2.508)",20.0,1.133885,18630,18628
102,"(3.7e-05, 3.08)","(3.7e-05, 2.508)",30.0,1.128885,9595,9593
103,"(3.4e-05, 3.08)","(3.4e-05, 2.508)",40.0,1.123885,35171,35169
104,"(2.9e-05, 3.08)","(2.9e-05, 2.508)",50.0,1.118885,24051,24049
105,"(2.2e-05, 3.08)","(2.2e-05, 2.508)",60.0,1.105714,29333,29331
106,"(1.5e-05, 3.08)","(1.5e-05, 2.508)",70.0,1.01798,34615,34613
107,"(1e-05, 3.08)","(1e-05, 2.508)",80.0,-1.052579,23495,23493
108,"(7e-06, 3.08)","(7e-06, 2.508)",90.0,-1.126761,49627,49625
109,"(7e-06, 3.08)","(7e-06, 2.508)",100.0,-1.188365,49627,49625
110,"(7e-06, 3.08)","(7e-06, 2.508)",110.0,-1.256258,49627,49625
111,"(9e-06, 3.08)","(9e-06, 2.508)",120.0,-1.317862,31696,31694
112,"(1.1e-05, 3.08)","(1.1e-05, 2.508)",130.0,-1.379465,14877,14875
113,"(1.3e-05, 3.08)","(1.3e-05, 2.508)",140.0,-1.441069,52824,52822
114,"(1.5e-05, 3.08)","(1.5e-05, 2.508)",150.0,-1.496384,34615,34613
115,"(1.7e-05, 3.08)","(1.7e-05, 2.508)",160.0,-1.551698,17935,17933
116,"(1.9e-05, 3.08)","(1.9e-05, 2.508)",170.0,-1.607013,421,419
117,"(2.1e-05, 3.08)","(2.1e-05, 2.508)",180.0,-1.662327,38090,38088
118,"(2.3e-05, 3.08)","(2.3e-05, 2.508)",190.0,-1.717642,21132,21130
119,"(2.5e-05, 3.08)","(2.5e-05, 2.508)",200.0,-1.766667,3340,3338
120,"(3.2e-05, 3.08)","(3.2e-05, 2.508)",10.0,1.031364,53380,53378
121,"(3.6e-05, 3.08)","(3.6e-05, 2.508)",20.0,1.045556,18630,18628
122,"(3.7e-05, 3.08)","(3.7e-05, 2.508)",30.0,1.050421,9595,9593
123,"(3.4e-05, 3.08)","(3.4e-05, 2.508)",40.0,-1.046316,35171,35169
124,"(2.9e-05, 3.08)","(2.9e-05, 2.508)",50.0,-1.156579,24051,24049
125,"(2.2e-05, 3.08)","(2.2e-05, 2.508)",60.0,-1.25807,29333,29331
126,"(1.5e-05, 3.08)","(1.5e-05, 2.508)",70.0,-1.359561,34615,34613
127,"(1e-05, 3.08)","(1e-05, 2.508)",80.0,-1.452281,23495,23493
128,"(7e-06, 3.08)","(7e-06, 2.508)",90.0,-1.553772,49627,49625
129,"(7e-06, 3.08)","(7e-06, 2.508)",100.0,-1.637719,49627,49625
130,"(7e-06, 3.08)","(7e-06, 2.508)",110.0,-1.730439,49627,49625
131,"(9e-06, 3.08)","(9e-06, 2.508)",120.0,-1.814386,31696,31694
132,"(1.1e-05, 3.08)","(1.1e-05, 2.508)",130.0,-1.898333,14877,14875
133,"(1.3e-05, 3.08)","(1.3e-05, 2.508)",140.0,-1.982281,52824,52822
134,"(1.5e-05, 3.08)","(1.5e-05, 2.508)",150.0,-2.057456,34615,34613
135,"(1.7e-05, 3.08)","(1.7e-05, 2.508)",160.0,-2.132632,17935,17933
136,"(1.9e-05, 3.08)","(1.9e-05, 2.508)",170.0,-2.207807,421,419
137,"(2.1e-05, 3.08)","(2.1e-05, 2.508)",180.0,-2.282982,38090,38088
138,"(2.3e-05, 3.08)","(2.3e-05, 2.508)",190.0,-2.358158,21132,21130
139,"(2.5e-05, 3.08)","(2.5e-05, 2.508)",200.0,-2.424561,3340,3338
140,"(8.1e-05, 2.508)","(8.1e-05, 2.992)",10.0,1.196044,14180,14184
141,"(8e-05, 2.508)","(8e-05, 2.992)",20.0,1.418571,22798,22802
142,"(7.8e-05, 2.508)","(7.8e-05, 2.992)",30.0,1.688704,39478,39482
143,"(7.6e-05, 2.508)","(7.6e-05, 2.992)",40.0,1.98,1948,1952
144,"(7.3e-05, 2.508)","(7.3e-05, 2.992)",50.0,2.155095,27941,27945
145,"(7e-05, 2.508)","(7e-05, 2.992)",60.0,2.328974,54490,54494
146,"(6.6e-05, 2.508)","(6.6e-05, 2.992)",70.0,2.506436,33362,33366
147,"(6.3e-05, 2.508)","(6.3e-05, 2.992)",80.0,2.381053,4450,4454
148,"(6.1e-05, 2.508)","(6.1e-05, 2.992)",90.0,2.243557,22242,22246
149,"(5.9e-05, 2.508)","(5.9e-05, 2.992)",100.0,2.119811,39061,39065
150,"(5.7e-05, 2.508)","(5.7e-05, 2.992)",110.0,2.017072,1531,1535
151,"(5.6e-05, 2.508)","(5.6e-05, 2.992)",120.0,1.922759,10149,10153
152,"(5.5e-05, 2.508)","(5.5e-05, 2.992)",130.0,1.835826,19045,19049
153,"(5.5e-05, 2.508)","(5.5e-05, 2.992)",140.0,1.762669,19045,19049
154,"(5.4e-05, 2.508)","(5.4e-05, 2.992)",150.0,1.694231,27385,27389
155,"(5.4e-05, 2.508)","(5.4e-05, 2.992)",160.0,1.630037,27385,27389
156,"(5.4e-05, 2.508)","(5.4e-05, 2.992)",170.0,1.569676,27385,27389
157,"(5.5e-05, 2.508)","(5.5e-05, 2.992)",180.0,1.518392,19045,19049
158,"(5.5e-05, 2.508)","(5.5e-05, 2.992)",190.0,1.464322,19045,19049
159,"(5.6e-05, 2.508)","(5.6e-05, 2.992)",200.0,1.418152,10149,10153
160,"(8.1e-05, 2.508)","(8.1e-05, 2.992)",10.0,1.187201,14180,14184
161,"(8e-05, 2.508)","(8e-05, 2.992)",20.0,1.402541,22798,22802
162,"(7.8e-05, 2.508)","(7.8e-05, 2.992)",30.0,1.656875,39478,39482
163,"(7.6e-05, 2.508)","(7.6e-05, 2.992)",40.0,1.916652,1948,1952
164,"(7.3e-05, 2.508)","(7.3e-05, 2.992)",50.0,2.181186,27941,27945
165,"(7e-05, 2.508)","(7e-05, 2.992)",60.0,2.401818,54490,54494
166,"(6.6e-05, 2.508)","(6.6e-05, 2.992)",70.0,2.369494,33362,33366
167,"(6.3e-05, 2.508)","(6.3e-05, 2.992)",80.0,2.212632,4450,4454
168,"(6.1e-05, 2.508)","(6.1e-05, 2.992)",90.0,2.084353,22242,22246
169,"(5.9e-05, 2.508)","(5.9e-05, 2.992)",100.0,1.968868,39061,39065
170,"(5.7e-05, 2.508)","(5.7e-05, 2.992)",110.0,1.872928,1531,1535
171,"(5.6e-05, 2.508)","(5.6e-05, 2.992)",120.0,1.784828,10149,10153
172,"(5.5e-05, 2.508)","(5.5e-05, 2.992)",130.0,1.703595,19045,19049
173,"(5.5e-05, 2.508)","(5.5e-05, 2.992)",140.0,1.635179,19045,19049
174,"(5.4e-05, 2.508)","(5.4e-05, 2.992)",150.0,1.571154,27385,27389
175,"(5.4e-05, 2.508)","(5.4e-05, 2.992)",160.0,1.511078,27385,27389
176,"(5.4e-05, 2.508)","(5.4e-05, 2.992)",170.0,1.454568,27385,27389
177,"(5.5e-05, 2.508)","(5.5e-05, 2.992)",180.0,1.406503,19045,19049
178,"(5.5e-05, 2.508)","(5.5e-05, 2.992)",190.0,1.355847,19045,19049
179,"(5.6e-05, 2.508)","(5.6e-05, 2.992)",200.0,1.312541,10149,10153
180,"(8.1e-05, 2.508)","(8.1e-05, 2.992)",10.0,1.189521,14180,14184
181,"(8e-05, 2.508)","(8e-05, 2.992)",20.0,1.396452,22798,22802
182,"(7.8e-05, 2.508)","(7.8e-05, 2.992)",30.0,1.661923,39478,39482
183,"(7.6e-05, 2.508)","(7.6e-05, 2.992)",40.0,1.926429,1948,1952
184,"(7.3e-05, 2.508)","(7.3e-05, 2.992)",50.0,2.19949,27941,27945
185,"(7e-05, 2.508)","(7e-05, 2.992)",60.0,2.37884,54490,54494
186,"(6.6e-05, 2.508)","(6.6e-05, 2.992)",70.0,2.414438,33362,33366
187,"(6.3e-05, 2.508)","(6.3e-05, 2.992)",80.0,2.254737,4450,4454
188,"(6.1e-05, 2.508)","(6.1e-05, 2.992)",90.0,2.124154,22242,22246
189,"(5.9e-05, 2.508)","(5.9e-05, 2.992)",100.0,2.006604,39061,39065
190,"(5.7e-05, 2.508)","(5.7e-05, 2.992)",110.0,1.908964,1531,1535
191,"(5.6e-05, 2.508)","(5.6e-05, 2.992)",120.0,1.81931,10149,10153
192,"(5.5e-05, 2.508)","(5.5e-05, 2.992)",130.0,1.736653,19045,19049
193,"(5.5e-05, 2.508)","(5.5e-05, 2.992)",140.0,1.667052,19045,19049
194,"(5.4e-05, 2.508)","(5.4e-05, 2.992)",150.0,1.601923,27385,27389
195,"(5.4e-05, 2.508)","(5.4e-05, 2.992)",160.0,1.540818,27385,27389
196,"(5.4e-05, 2.508)","(5.4e-05, 2.992)",170.0,1.483345,27385,27389
197,"(5.5e-05, 2.508)","(5.5e-05, 2.992)",180.0,1.434476,19045,19049
198,"(5.5e-05, 2.508)","(5.5e-05, 2.992)",190.0,1.382966,19045,19049
199,"(5.6e-05, 2.508)","(5.6e-05, 2.992)",200.0,1.338944,10149,10153
200,"(1.4e-05, 2.992)","(1.4e-05, 3.256)",10.0,1.074137,43791,43790
201,"(2e-06, 2.992)","(2e-06, 3.256)",20.0,1.148301,37397,37396
202,"(4e-06, 2.992)","(4e-06, 3.256)",30.0,1.214508,20578,20577
203,"(3e-06, 2.992)","(3e-06, 3.256)",40.0,1.273103,28779,28778
204,"(2e-06, 2.992)","(2e-06, 3.256)",50.0,1.285044,37397,37396
205,"(7e-06, 2.992)","(7e-06, 3.256)",60.0,1.291586,49629,49628
206,"(1.4e-05, 2.992)","(1.4e-05, 3.256)",70.0,1.269348,43791,43790
207,"(1.9e-05, 2.992)","(1.9e-05, 3.256)",80.0,1.236596,423,422
208,"(2.6e-05, 2.992)","(2.6e-05, 3.256)",90.0,1.199813,50324,50323
209,"(3.1e-05, 2.992)","(3.1e-05, 3.256)",100.0,1.159677,6400,6399
210,"(3.6e-05, 2.992)","(3.6e-05, 3.256)",110.0,1.126102,18632,18631
211,"(4e-05, 2.992)","(4e-05, 3.256)",120.0,1.089425,38648,38647
212,"(4.5e-05, 2.992)","(4.5e-05, 3.256)",130.0,1.054403,51019,51018
213,"(4.9e-05, 2.992)","(4.9e-05, 3.256)",140.0,1.020909,15991,15990
214,"(5.2e-05, 2.992)","(5.2e-05, 3.256)",150.0,0.992616,45042,45041
215,"(5.6e-05, 2.992)","(5.6e-05, 3.256)",160.0,0.965296,10153,10152
216,"(5.9e-05, 2.992)","(5.9e-05, 3.256)",170.0,0.928514,39065,39064
217,"(6.2e-05, 2.992)","(6.2e-05, 3.256)",180.0,-1.106667,13628,13627
218,"(6.5e-05, 2.992)","(6.5e-05, 3.256)",190.0,-1.138333,42262,42261
219,"(6.7e-05, 2.992)","(6.7e-05, 3.256)",200.0,-1.166667,25165,25164
220,"(1.4e-05, 2.992)","(1.4e-05, 3.256)",10.0,1.061038,43791,43790
221,"(2e-06, 2.992)","(2e-06, 3.256)",20.0,1.1033,37397,37396
222,"(4e-06, 2.992)","(4e-06, 3.256)",30.0,1.138061,20578,20577
223,"(3e-06, 2.992)","(3e-06, 3.256)",40.0,1.150984,28779,28778
224,"(2e-06, 2.992)","(2e-06, 3.256)",50.0,1.139948,37397,37396
225,"(7e-06, 2.992)","(7e-06, 3.256)",60.0,1.117208,49629,49628
226,"(1.4e-05, 2.992)","(1.4e-05, 3.256)",70.0,1.083812,43791,43790
227,"(1.9e-05, 2.992)","(1.9e-05, 3.256)",80.0,1.046538,423,422
228,"(2.6e-05, 2.992)","(2.6e-05, 3.256)",90.0,1.001296,50324,50323
229,"(3.1e-05, 2.992)","(3.1e-05, 3.256)",100.0,-1.054425,6400,6399
230,"(3.6e-05, 2.992)","(3.6e-05, 3.256)",110.0,-1.108097,18632,18631
231,"(4e-05, 2.992)","(4e-05, 3.256)",120.0,-1.157345,38648,38647
232,"(4.5e-05, 2.992)","(4.5e-05, 3.256)",130.0,-1.206593,51019,51018
233,"(4.9e-05, 2.992)","(4.9e-05, 3.256)",140.0,-1.255841,15991,15990
234,"(5.2e-05, 2.992)","(5.2e-05, 3.256)",150.0,-1.305088,45042,45041
235,"(5.6e-05, 2.992)","(5.6e-05, 3.256)",160.0,-1.349912,10153,10152
236,"(5.9e-05, 2.992)","(5.9e-05, 3.256)",170.0,-1.394735,39065,39064
237,"(6.2e-05, 2.992)","(6.2e-05, 3.256)",180.0,-1.439558,13628,13627
238,"(6.5e-05, 2.992)","(6.5e-05, 3.256)",190.0,-1.479956,42262,42261
239,"(6.7e-05, 2.992)","(6.7e-05, 3.256)",200.0,-1.515929,25165,25164
240,"(1.4e-05, 2.992)","(1.4e-05, 3.256)",10.0,1.082838,43791,43790
241,"(2e-06, 2.992)","(2e-06, 3.256)",20.0,1.169487,37397,37396
242,"(4e-06, 2.992)","(4e-06, 3.256)",30.0,1.242812,20578,20577
243,"(3e-06, 2.992)","(3e-06, 3.256)",40.0,1.294286,28779,28778
244,"(2e-06, 2.992)","(2e-06, 3.256)",50.0,1.339407,37397,37396
245,"(7e-06, 2.992)","(7e-06, 3.256)",60.0,1.32865,49629,49628
246,"(1.4e-05, 2.992)","(1.4e-05, 3.256)",70.0,1.329407,43791,43790
247,"(1.9e-05, 2.992)","(1.9e-05, 3.256)",80.0,1.301667,423,422
248,"(2.6e-05, 2.992)","(2.6e-05, 3.256)",90.0,1.258644,50324,50323
249,"(3.1e-05, 2.992)","(3.1e-05, 3.256)",100.0,1.217717,6400,6399
250,"(3.6e-05, 2.992)","(3.6e-05, 3.256)",110.0,1.183462,18632,18631
251,"(4e-05, 2.992)","(4e-05, 3.256)",120.0,1.141493,38648,38647
252,"(4.5e-05, 2.992)","(4.5e-05, 3.256)",130.0,1.110182,51019,51018
253,"(4.9e-05, 2.992)","(4.9e-05, 3.256)",140.0,1.075907,15991,15990
254,"(5.2e-05, 2.992)","(5.2e-05, 3.256)",150.0,1.046951,45042,45041
255,"(5.6e-05, 2.992)","(5.6e-05, 3.256)",160.0,1.018976,10153,10152
256,"(5.9e-05, 2.992)","(5.9e-05, 3.256)",170.0,0.991923,39065,39064
257,"(6.2e-05, 2.992)","(6.2e-05, 3.256)",180.0,0.965738,13628,13627
258,"(6.5e-05, 2.992)","(6.5e-05, 3.256)",190.0,0.933754,42262,42261
259,"(6.7e-05, 2.992)","(6.7e-05, 3.256)",200.0,0.90625,25165,25164
260,"(2.7e-05, 3.256)","(2.7e-05, 2.156)",10.0,1.235,41149,41151
261,"(2.3e-05, 3.256)","(2.3e-05, 2.156)",20.0,1.497599,21133,21135
262,"(2.3e-05, 3.256)","(2.3e-05, 2.156)",30.0,1.660676,21133,21135
263,"(2.3e-05, 3.256)","(2.3e-05, 2.156)",40.0,1.823866,21133,21135
264,"(2.5e-05, 3.256)","(2.5e-05, 2.156)",50.0,1.99126,3341,3343
265,"(2.6e-05, 3.256)","(2.6e-05, 2.156)",60.0,2.155022,50323,50325
266,"(2.6e-05, 3.256)","(2.6e-05, 2.156)",70.0,2.315711,50323,50325
267,"(2.6e-05, 3.256)","(2.6e-05, 2.156)",80.0,2.490612,50323,50325
268,"(2.5e-05, 3.256)","(2.5e-05, 2.156)",90.0,2.650652,3341,3343
269,"(2.4e-05, 3.256)","(2.4e-05, 2.156)",100.0,2.817052,12376,12378
270,"(2.2e-05, 3.256)","(2.2e-05, 2.156)",110.0,2.91506,29334,29336
271,"(1.9e-05, 3.256)","(1.9e-05, 2.156)",120.0,2.774286,422,424
272,"(1.7e-05, 3.256)","(1.7e-05, 2.156)",130.0,2.630652,17936,17938
273,"(1.5e-05, 3.256)","(1.5e-05, 2.156)",140.0,2.513333,34616,34618
274,"(1.5e-05, 3.256)","(1.5e-05, 2.156)",150.0,2.405,34616,34618
275,"(1.5e-05, 3.256)","(1.5e-05, 2.156)",160.0,2.316135,34616,34618
276,"(1.6e-05, 3.256)","(1.6e-05, 2.156)",170.0,2.221977,26415,26417
277,"(1.6e-05, 3.256)","(1.6e-05, 2.156)",180.0,2.144234,26415,26417
278,"(1.7e-05, 3.256)","(1.7e-05, 2.156)",190.0,2.070939,17936,17938
279,"(1.7e-05, 3.256)","(1.7e-05, 2.156)",200.0,2.001695,17936,17938
280,"(2.7e-05, 3.256)","(2.7e-05, 2.156)",10.0,1.215963,41149,41151
281,"(2.3e-05, 3.256)","(2.3e-05, 2.156)",20.0,1.46099,21133,21135
282,"(2.3e-05, 3.256)","(2.3e-05, 2.156)",30.0,1.729939,21133,21135
283,"(2.3e-05, 3.256)","(2.3e-05, 2.156)",40.0,1.895556,21133,21135
284,"(2.5e-05, 3.256)","(2.5e-05, 2.156)",50.0,2.067233,3341,3343
285,"(2.6e-05, 3.256)","(2.6e-05, 2.156)",60.0,2.238421,50323,50325
286,"(2.6e-05, 3.256)","(2.6e-05, 2.156)",70.0,2.400028,50323,50325
287,"(2.6e-05, 3.256)","(2.6e-05, 2.156)",80.0,2.572121,50323,50325
288,"(2.5e-05, 3.256)","(2.5e-05, 2.156)",90.0,2.753701,3341,3343
289,"(2.4e-05, 3.256)","(2.4e-05, 2.156)",100.0,2.677848,12376,12378
290,"(2.2e-05, 3.256)","(2.2e-05, 2.156)",110.0,2.525838,29334,29336
291,"(1.9e-05, 3.256)","(1.9e-05, 2.156)",120.0,2.402857,422,424
292,"(1.7e-05, 3.256)","(1.7e-05, 2.156)",130.0,2.277391,17936,17938
293,"(1.5e-05, 3.256)","(1.5e-05, 2.156)",140.0,2.174792,34616,34618
294,"(1.5e-05, 3.256)","(1.5e-05, 2.156)",150.0,2.08,34616,34618
295,"(1.5e-05, 3.256)","(1.5e-05, 2.156)",160.0,2.002126,34616,34618
296,"(1.6e-05, 3.256)","(1.6e-05, 2.156)",170.0,1.919651,26415,26417
297,"(1.6e-05, 3.256)","(1.6e-05, 2.156)",180.0,1.851441,26415,26417
298,"(1.7e-05, 3.256)","(1.7e-05, 2.156)",190.0,1.787096,17936,17938
299,"(1.7e-05, 3.256)","(1.7e-05, 2.156)",200.0,1.726271,17936,17938
300,"(2.7e-05, 3.256)","(2.7e-05, 2.156)",10.0,1.204581,41149,41151
301,"(2.3e-05, 3.256)","(2.3e-05, 2.156)",20.0,1.438029,21133,21135
302,"(2.3e-05, 3.256)","(2.3e-05, 2.156)",30.0,1.718906,21133,21135
303,"(2.3e-05, 3.256)","(2.3e-05, 2.156)",40.0,1.922308,21133,21135
304,"(2.5e-05, 3.256)","(2.5e-05, 2.156)",50.0,2.101316,3341,3343
305,"(2.6e-05, 3.256)","(2.6e-05, 2.156)",60.0,2.265455,50323,50325
306,"(2.6e-05, 3.256)","(2.6e-05, 2.156)",70.0,2.443528,50323,50325
307,"(2.6e-05, 3.256)","(2.6e-05, 2.156)",80.0,2.617895,50323,50325
308,"(2.5e-05, 3.256)","(2.5e-05, 2.156)",90.0,2.666409,3341,3343
309,"(2.4e-05, 3.256)","(2.4e-05, 2.156)",100.0,2.506962,12376,12378
