,state,state_p,act,r_vel,s,s_p
16922,"(0.000152, 5.456)","(0.000152, 5.588)",30.0,1.012273,4274,4304
16923,"(0.000154, 5.456)","(0.000154, 5.588)",40.0,-1.108496,42082,42112
16924,"(0.000157, 5.456)","(0.000157, 5.588)",50.0,-1.201991,16367,16397
16925,"(0.000159, 5.456)","(0.000159, 5.588)",60.0,-1.291062,54314,54344
16926,"(0.00016, 5.456)","(0.00016, 5.588)",70.0,-1.358009,45418,45448
16927,"(0.000161, 5.456)","(0.000161, 5.588)",80.0,-1.424956,36244,36274
16928,"(0.000161, 5.456)","(0.000161, 5.588)",90.0,-1.496327,36244,36274
16929,"(0.000158, 5.456)","(0.000158, 5.588)",100.0,-1.563274,7193,7223
16930,"(0.000153, 5.456)","(0.000153, 5.588)",110.0,-1.621372,51395,51425
16931,"(0.000142, 5.456)","(0.000142, 5.588)",120.0,-1.670619,35549,35579
16932,"(0.000127, 5.456)","(0.000127, 5.588)",130.0,-1.706593,799,829
16933,"(9.9e-05, 5.456)","(9.9e-05, 5.588)",140.0,-1.733717,23317,23347
16934,"(5.9e-05, 5.456)","(5.9e-05, 5.588)",150.0,-1.743142,39163,39193
16935,"(5e-06, 5.456)","(5e-06, 5.588)",160.0,-1.748142,11919,11949
16936,"(8.6e-05, 5.456)","(8.6e-05, 5.588)",170.0,-1.744292,25819,25849
16937,"(0.000141, 5.456)","(0.000141, 5.588)",180.0,-1.736018,44723,44753
16938,"(0.000198, 5.456)","(0.000198, 5.588)",190.0,-1.732168,46252,46282
16939,"(0.000239, 5.456)","(0.000239, 5.588)",200.0,-1.723894,21649,21679
16940,"(9.7e-05, 5.588)","(9.7e-05, 4.268)",10.0,1.199176,40166,40163
16941,"(0.000135, 5.588)","(0.000135, 4.268)",20.0,1.388922,41556,41553
16942,"(0.000166, 5.588)","(0.000166, 4.268)",30.0,1.622224,48506,48503
16943,"(0.000192, 5.588)","(0.000192, 4.268)",40.0,1.860435,43224,43221
16944,"(0.000213, 5.588)","(0.000213, 4.268)",50.0,2.110802,26405,26402
16945,"(0.00023, 5.588)","(0.00023, 4.268)",60.0,2.216753,44475,44472
16946,"(0.000242, 5.588)","(0.000242, 4.268)",70.0,2.092049,51008,51005
16947,"(0.000249, 5.588)","(0.000249, 4.268)",80.0,1.979455,45031,45028
16948,"(0.000251, 5.588)","(0.000251, 4.268)",90.0,1.884368,27378,27375
16949,"(0.000246, 5.588)","(0.000246, 4.268)",100.0,1.796975,15980,15977
16950,"(0.000228, 5.588)","(0.000228, 4.268)",110.0,1.716331,6389,6386
16951,"(0.000208, 5.588)","(0.000208, 4.268)",120.0,1.641639,14868,14865
16952,"(0.000172, 5.588)","(0.000172, 4.268)",130.0,1.577405,51981,51978
16953,"(0.000126, 5.588)","(0.000126, 4.268)",140.0,1.522025,9447,9444
16954,"(0.000103, 5.588)","(0.000103, 4.268)",150.0,1.469643,43502,43499
16955,"(0.000103, 5.588)","(0.000103, 4.268)",160.0,1.424348,43502,43499
16956,"(0.000103, 5.588)","(0.000103, 4.268)",170.0,1.389432,43502,43499
16957,"(0.000103, 5.588)","(0.000103, 4.268)",180.0,1.359721,43502,43499
16958,"(0.000103, 5.588)","(0.000103, 4.268)",190.0,1.334752,43502,43499
16959,"(0.000103, 5.588)","(0.000103, 4.268)",200.0,1.318033,43502,43499
16960,"(9.7e-05, 5.588)","(9.7e-05, 4.268)",10.0,1.206111,40166,40163
16961,"(0.000135, 5.588)","(0.000135, 4.268)",20.0,1.416702,41556,41553
16962,"(0.000166, 5.588)","(0.000166, 4.268)",30.0,1.656779,48506,48503
16963,"(0.000192, 5.588)","(0.000192, 4.268)",40.0,1.926429,43224,43221
16964,"(0.000213, 5.588)","(0.000213, 4.268)",50.0,2.155,26405,26402
16965,"(0.00023, 5.588)","(0.00023, 4.268)",60.0,2.29906,44475,44472
16966,"(0.000242, 5.588)","(0.000242, 4.268)",70.0,2.198607,51008,51005
16967,"(0.000249, 5.588)","(0.000249, 4.268)",80.0,2.080623,45031,45028
16968,"(0.000251, 5.588)","(0.000251, 4.268)",90.0,1.981022,27378,27375
16969,"(0.000246, 5.588)","(0.000246, 4.268)",100.0,1.889502,15980,15977
16970,"(0.000228, 5.588)","(0.000228, 4.268)",110.0,1.805068,6389,6386
16971,"(0.000208, 5.588)","(0.000208, 4.268)",120.0,1.726885,14868,14865
16972,"(0.000172, 5.588)","(0.000172, 4.268)",130.0,1.659684,51981,51978
16973,"(0.000126, 5.588)","(0.000126, 4.268)",140.0,1.601779,9447,9444
16974,"(0.000103, 5.588)","(0.000103, 4.268)",150.0,1.547024,43502,43499
16975,"(0.000103, 5.588)","(0.000103, 4.268)",160.0,1.49971,43502,43499
16976,"(0.000103, 5.588)","(0.000103, 4.268)",170.0,1.463295,43502,43499
16977,"(0.000103, 5.588)","(0.000103, 4.268)",180.0,1.432346,43502,43499
16978,"(0.000103, 5.588)","(0.000103, 4.268)",190.0,1.406377,43502,43499
16979,"(0.000103, 5.588)","(0.000103, 4.268)",200.0,1.389071,43502,43499
16980,"(9.7e-05, 5.588)","(9.7e-05, 4.268)",10.0,1.289224,40166,40163
16981,"(0.000135, 5.588)","(0.000135, 4.268)",20.0,1.541948,41556,41553
16982,"(0.000166, 5.588)","(0.000166, 4.268)",30.0,1.704424,48506,48503
16983,"(0.000192, 5.588)","(0.000192, 4.268)",40.0,1.871821,43224,43221
16984,"(0.000213, 5.588)","(0.000213, 4.268)",50.0,2.035345,26405,26402
16985,"(0.00023, 5.588)","(0.00023, 4.268)",60.0,2.203645,44475,44472
16986,"(0.000242, 5.588)","(0.000242, 4.268)",70.0,2.37104,51008,51005
16987,"(0.000249, 5.588)","(0.000249, 4.268)",80.0,2.539137,45031,45028
16988,"(0.000251, 5.588)","(0.000251, 4.268)",90.0,2.620428,27378,27375
16989,"(0.000246, 5.588)","(0.000246, 4.268)",100.0,2.501601,15980,15977
16990,"(0.000228, 5.588)","(0.000228, 4.268)",110.0,2.392099,6389,6386
16991,"(0.000208, 5.588)","(0.000208, 4.268)",120.0,2.29082,14868,14865
16992,"(0.000172, 5.588)","(0.000172, 4.268)",130.0,2.203987,51981,51978
16993,"(0.000126, 5.588)","(0.000126, 4.268)",140.0,2.129387,9447,9444
16994,"(0.000103, 5.588)","(0.000103, 4.268)",150.0,2.058929,43502,43499
16995,"(0.000103, 5.588)","(0.000103, 4.268)",160.0,1.998261,43502,43499
16996,"(0.000103, 5.588)","(0.000103, 4.268)",170.0,1.951932,43502,43499
16997,"(0.000103, 5.588)","(0.000103, 4.268)",180.0,1.912793,43502,43499
16998,"(0.000103, 5.588)","(0.000103, 4.268)",190.0,1.880207,43502,43499
16999,"(0.000103, 5.588)","(0.000103, 4.268)",200.0,1.859016,43502,43499
17000,"(2.3e-05, 4.268)","(2.3e-05, 6.248)",10.0,1.146584,21259,21143
17001,"(4.3e-05, 4.268)","(4.3e-05, 6.248)",20.0,1.295128,13197,13081
17002,"(6.6e-05, 4.268)","(6.6e-05, 6.248)",30.0,1.364404,33491,33375
17003,"(9.6e-05, 4.268)","(9.6e-05, 6.248)",40.0,1.366921,49476,49360
17004,"(0.000139, 4.268)","(0.000139, 6.248)",50.0,1.373352,6803,6687
17005,"(0.000183, 4.268)","(0.000183, 6.248)",60.0,1.368352,11251,11135
17006,"(0.000234, 4.268)","(0.000234, 6.248)",70.0,1.371077,9583,9467
17007,"(0.000282, 4.268)","(0.000282, 6.248)",80.0,1.373889,33908,33792
17008,"(0.000326, 4.268)","(0.000326, 6.248)",90.0,1.376788,38356,38240
17009,"(0.000358, 4.268)","(0.000358, 6.248)",100.0,1.329404,36132,36016
17010,"(0.000377, 4.268)","(0.000377, 6.248)",110.0,1.295133,36688,36572
17011,"(0.000372, 4.268)","(0.000372, 6.248)",120.0,1.268982,25429,25313
17012,"(0.000354, 4.268)","(0.000354, 6.248)",130.0,1.257078,16255,16139
17013,"(0.000307, 4.268)","(0.000307, 6.248)",140.0,1.258982,37661,37545
17014,"(0.000253, 4.268)","(0.000253, 6.248)",150.0,1.268008,10139,10023
17015,"(0.000202, 4.268)","(0.000202, 6.248)",160.0,1.280963,11807,11691
17016,"(0.000129, 4.268)","(0.000129, 6.248)",170.0,1.309521,38495,38379
17017,"(0.000121, 4.268)","(0.000121, 6.248)",180.0,1.316077,53229,53113
17018,"(0.000119, 4.268)","(0.000119, 6.248)",190.0,1.311077,15282,15166
17019,"(0.000115, 4.268)","(0.000115, 6.248)",200.0,1.306077,50032,49916
17020,"(2.3e-05, 4.268)","(2.3e-05, 6.248)",10.0,1.099762,21259,21143
17021,"(4.3e-05, 4.268)","(4.3e-05, 6.248)",20.0,1.168862,13197,13081
17022,"(6.6e-05, 4.268)","(6.6e-05, 6.248)",30.0,1.221674,33491,33375
17023,"(9.6e-05, 4.268)","(9.6e-05, 6.248)",40.0,1.277539,49476,49360
17024,"(0.000139, 4.268)","(0.000139, 6.248)",50.0,1.323837,6803,6687
17025,"(0.000183, 4.268)","(0.000183, 6.248)",60.0,1.35756,11251,11135
17026,"(0.000234, 4.268)","(0.000234, 6.248)",70.0,1.404206,9583,9467
17027,"(0.000282, 4.268)","(0.000282, 6.248)",80.0,1.41,33908,33792
17028,"(0.000326, 4.268)","(0.000326, 6.248)",90.0,1.434592,38356,38240
17029,"(0.000358, 4.268)","(0.000358, 6.248)",100.0,1.425827,36132,36016
17030,"(0.000377, 4.268)","(0.000377, 6.248)",110.0,1.436003,36688,36572
17031,"(0.000372, 4.268)","(0.000372, 6.248)",120.0,1.442591,25429,25313
17032,"(0.000354, 4.268)","(0.000354, 6.248)",130.0,1.441494,16255,16139
17033,"(0.000307, 4.268)","(0.000307, 6.248)",140.0,1.44436,37661,37545
17034,"(0.000253, 4.268)","(0.000253, 6.248)",150.0,1.455343,10139,10023
17035,"(0.000202, 4.268)","(0.000202, 6.248)",160.0,1.47914,11807,11691
17036,"(0.000129, 4.268)","(0.000129, 6.248)",170.0,1.495381,38495,38379
17037,"(0.000121, 4.268)","(0.000121, 6.248)",180.0,1.51221,53229,53113
17038,"(0.000119, 4.268)","(0.000119, 6.248)",190.0,1.538803,15282,15166
17039,"(0.000115, 4.268)","(0.000115, 6.248)",200.0,1.566667,50032,49916
17040,"(2.3e-05, 4.268)","(2.3e-05, 6.248)",10.0,1.17815,21259,21143
17041,"(4.3e-05, 4.268)","(4.3e-05, 6.248)",20.0,1.241938,13197,13081
17042,"(6.6e-05, 4.268)","(6.6e-05, 6.248)",30.0,1.295345,33491,33375
17043,"(9.6e-05, 4.268)","(9.6e-05, 6.248)",40.0,1.360342,49476,49360
17044,"(0.000139, 4.268)","(0.000139, 6.248)",50.0,1.397907,6803,6687
17045,"(0.000183, 4.268)","(0.000183, 6.248)",60.0,1.448261,11251,11135
17046,"(0.000234, 4.268)","(0.000234, 6.248)",70.0,1.488585,9583,9467
17047,"(0.000282, 4.268)","(0.000282, 6.248)",80.0,1.520386,33908,33792
17048,"(0.000326, 4.268)","(0.000326, 6.248)",90.0,1.538333,38356,38240
17049,"(0.000358, 4.268)","(0.000358, 6.248)",100.0,1.577204,36132,36016
17050,"(0.000377, 4.268)","(0.000377, 6.248)",110.0,1.584594,36688,36572
17051,"(0.000372, 4.268)","(0.000372, 6.248)",120.0,1.587959,25429,25313
