s,a,r,sp
944,7,2.484737,986
944,8,2.657183,986
944,9,2.52547,986
944,10,2.374051,986
944,11,2.238413,966
944,12,2.128571,966
944,13,2.016522,966
944,14,1.924792,966
944,15,1.84,966
944,16,1.770242,966
944,17,1.696395,966
944,18,1.635225,966
944,19,1.577489,966
944,20,1.522881,966
864,1,1.235,986
864,2,1.497599,986
864,3,1.660676,966
864,4,1.823866,986
864,5,1.99126,986
864,6,2.155022,986
864,7,2.315711,986
864,8,2.490612,986
864,9,2.650652,986
864,10,2.817052,986
864,11,2.91506,966
864,12,2.774286,966
864,13,2.630652,966
864,14,2.513333,966
864,15,2.405,966
864,16,2.316135,966
864,17,2.221977,966
864,18,2.144234,966
864,19,2.070939,966
864,20,2.001695,966
884,1,1.22762,986
884,2,1.481909,986
884,3,1.692407,966
884,4,1.861633,986
884,5,2.023889,986
884,6,2.197053,986
884,7,2.366042,986
884,8,2.535419,986
884,9,2.699048,986
884,10,2.867722,986
884,11,2.705479,966
884,12,2.574286,966
884,13,2.440435,966
884,14,2.331042,966
884,15,2.23,966
884,16,2.147053,966
884,17,2.059186,966
884,18,1.986577,966
884,19,1.9181,966
884,20,1.85339,966
986,1,1.102417,866
986,2,1.209718,886
986,3,1.313221,906
986,4,1.428161,906
986,5,1.515925,906
986,6,1.561912,906
986,7,1.586723,906
986,8,1.581723,906
986,9,1.552786,906
986,10,1.507554,886
986,11,1.464298,886
986,12,1.422877,886
986,13,1.383161,886
986,14,1.345033,886
986,15,1.308387,866
986,16,1.277367,866
986,17,1.25142,866
986,18,1.222121,866
986,19,1.201407,866
986,20,1.177286,866
926,1,1.092561,866
926,2,1.19178,886
926,3,1.283077,906
926,4,1.357551,906
926,5,1.431835,906
926,6,1.47,906
926,7,1.476194,906
926,8,1.476854,906
926,9,1.438516,906
926,10,1.412094,886
926,11,1.376095,886
926,12,1.341384,886
926,13,1.298636,886
926,14,1.266634,886
926,15,1.231452,866
926,16,1.205714,866
926,17,1.176682,866
926,18,1.16,866
926,19,1.132273,866
926,20,1.112575,866
986,1,1.101599,866
986,2,1.207877,886
986,3,1.314268,906
986,4,1.428505,906
986,5,1.515636,906
986,6,1.561241,906
986,7,1.591866,906
986,8,1.586866,906
986,9,1.55207,906
986,10,1.512724,886
986,11,1.469476,886
986,12,1.428055,886
986,13,1.388333,886
986,14,1.350195,886
986,15,1.317971,866
986,16,1.2825,866
986,17,1.256538,866
986,18,1.235228,866
986,19,1.206493,866
986,20,1.189941,866
886,1,1.181486,947
886,2,1.392556,947
886,3,1.641604,927
886,4,1.888696,927
886,5,2.148267,907
886,6,2.408889,907
886,7,2.275526,887
886,8,2.133267,867
886,9,2.006402,867
886,10,1.901111,867
886,11,1.813085,847
886,12,1.724553,847
886,13,1.649844,847
886,14,1.586604,847
886,15,1.521364,847
886,16,1.465775,867
886,17,1.413294,887
886,18,1.368472,907
886,19,1.321129,987
886,20,1.280503,1047
866,1,1.191517,947
866,2,1.4173,947
866,3,1.684647,927
866,4,1.975851,927
