s,a,r,sp
77,20,-2.0,126
126,1,2.147957,125
126,2,2.047957,125
126,3,1.947957,125
126,4,1.847957,125
126,5,1.747957,125
126,6,1.647957,126
126,7,1.547957,126
126,8,1.447957,126
126,9,1.347957,126
126,10,1.247957,126
126,11,1.147957,126
126,12,1.047957,126
126,13,0.947957,126
126,14,0.847957,126
126,15,0.747957,126
126,16,0.647957,126
126,17,0.547957,126
126,18,0.447957,126
126,19,0.347957,126
126,20,0.247957,126
127,1,2.290389,125
127,2,2.634722,125
127,3,2.534722,125
127,4,2.434722,125
127,5,2.334722,125
127,6,2.234722,126
127,7,2.134722,126
127,8,2.034722,126
127,9,1.934722,126
127,10,1.834722,126
127,11,1.734722,126
127,12,1.634722,126
127,13,1.534722,126
127,14,1.434722,126
127,15,1.334722,126
127,16,1.234722,126
127,17,1.134722,126
127,18,1.034722,126
127,19,0.934722,126
127,20,0.556105,126
126,1,2.217238,125
126,2,2.117238,125
126,3,2.017238,125
126,4,1.917238,125
126,5,1.817238,125
126,6,1.717238,126
126,7,1.617238,126
126,8,1.517238,126
126,9,1.417238,126
126,10,1.317238,126
126,11,1.217238,126
126,12,1.117238,126
126,13,1.017238,126
126,14,0.917238,126
126,15,0.817238,126
126,16,0.717238,126
126,17,0.617238,126
126,18,0.517238,126
126,19,0.417238,126
126,20,0.317238,126
126,1,2.743101,126
126,2,2.643101,127
126,3,2.543101,127
126,4,2.443101,127
126,5,2.343101,127
126,6,2.243101,127
126,7,2.143101,127
126,8,2.043101,127
126,9,1.943101,127
126,10,1.843101,127
126,11,1.743101,127
126,12,1.643101,127
126,13,1.543101,126
126,14,1.443101,126
126,15,1.343101,125
126,16,1.243101,124
126,17,1.143101,122
126,18,1.043101,118
126,19,0.943101,116
126,20,0.843101,116
126,1,1.279679,126
126,2,1.179679,127
126,3,1.079679,127
126,4,0.979679,127
126,5,0.879679,127
126,6,0.779679,127
126,7,0.679679,127
126,8,0.579679,127
126,9,0.479679,127
126,10,0.379679,127
126,11,0.279679,127
126,12,0.179679,127
126,13,0.079679,126
126,14,-0.020321,126
126,15,-0.120321,125
126,16,-0.220321,124
126,17,-0.320321,122
126,18,-0.420321,118
126,19,-0.520321,116
126,20,-0.620321,116
126,1,0.0254,126
126,2,-0.0746,127
126,3,-0.1746,127
126,4,-0.2746,127
126,5,-0.3746,127
126,6,-0.4746,127
126,7,-0.5746,127
126,8,-0.6746,127
126,9,-0.7746,127
126,10,-0.8746,127
126,11,-0.9746,127
126,12,-1.0746,127
126,13,-1.1746,126
126,14,-1.2746,126
126,15,-1.3746,125
126,16,-1.4746,124
126,17,-1.5746,122
126,18,-1.6746,118
126,19,-1.7746,116
126,20,-1.8746,116
127,1,2.905386,127
127,2,2.805386,127
127,3,2.705386,127
127,4,2.605386,126
127,5,2.505386,126
127,6,2.405386,125
127,7,2.305386,124
127,8,2.205386,123
127,9,2.105386,122
127,10,2.005386,121
127,11,1.905386,120
127,12,1.805386,126
127,13,1.705386,126
127,14,1.605386,126
127,15,1.505386,126
127,16,1.405386,126
127,17,1.305386,126
127,18,1.205386,126
127,19,1.105386,126
127,20,1.005386,126
127,1,4.693827,127
127,2,4.593827,127
127,3,4.493827,127
127,4,4.393827,126
127,5,4.293827,126
127,6,4.193827,125
127,7,4.093827,124
127,8,3.993827,123
127,9,3.893827,122
127,10,3.793827,121
127,11,3.693827,120
127,12,3.593827,126
127,13,3.493827,126
127,14,3.393827,126
127,15,3.293827,126
127,16,3.193827,126
127,17,3.093827,126
127,18,2.993827,126
127,19,2.893827,126
127,20,2.793827,126
127,1,4.721477,127
127,2,4.621477,127
