s,a,r,sp
84,20,1.37885,113
87,1,2.236249,115
87,2,3.797957,115
87,3,5.049715,115
87,4,6.265461,115
87,5,6.726811,114
87,6,6.626811,114
87,7,6.526811,114
87,8,6.426811,114
87,9,6.326811,114
87,10,6.226811,114
87,11,6.126811,114
87,12,6.026811,114
87,13,5.926811,114
87,14,5.826811,114
87,15,5.726811,114
87,16,5.626811,114
87,17,5.244966,114
87,18,4.813154,113
87,19,4.38269,113
87,20,3.96268,113
86,1,2.093248,115
86,2,3.514552,115
86,3,4.646402,115
86,4,5.867979,115
86,5,6.479806,114
86,6,6.806931,114
86,7,6.706931,114
86,8,6.606931,114
86,9,6.506931,114
86,10,6.406931,114
86,11,6.306931,114
86,12,6.206931,114
86,13,6.106931,114
86,14,5.817284,114
86,15,5.355008,114
86,16,4.908311,114
86,17,4.448429,114
86,18,4.015871,113
86,19,3.585405,113
86,20,3.165394,113
114,1,1.191605,133
114,2,1.688239,133
114,3,1.974343,133
114,4,2.140537,133
114,5,2.082305,133
114,6,1.831529,133
114,7,1.50277,133
114,8,1.07265,133
114,9,0.597794,134
114,10,0.115227,134
114,11,-0.352999,134
114,12,-0.798389,134
114,13,-1.216309,135
114,14,-1.604995,135
114,15,-1.988892,136
114,16,-2.322758,136
114,17,-2.630825,136
114,18,-2.942331,137
114,19,-3.201065,137
114,20,-3.469828,138
115,1,1.049068,133
115,2,1.43325,133
115,3,1.634186,133
115,4,1.644824,133
115,5,1.566927,133
115,6,1.327925,133
115,7,0.974722,133
115,8,0.591059,133
115,9,0.131827,134
115,10,-0.308043,134
115,11,-0.742711,134
115,12,-1.161556,134
115,13,-1.575759,135
115,14,-1.948246,135
115,15,-2.315281,136
115,16,-2.639767,136
115,17,-2.962566,136
115,18,-3.240353,137
115,19,-3.522603,137
115,20,-3.787298,138
114,1,1.175363,133
114,2,1.677786,133
114,3,1.970559,133
114,4,2.145708,133
114,5,2.095142,133
114,6,1.850718,133
114,7,1.528038,133
114,8,1.101476,133
114,9,0.628266,134
114,10,0.14661,134
114,11,-0.321638,134
114,12,-0.766797,134
114,13,-1.185016,135
114,14,-1.574013,135
114,15,-1.934175,136
114,16,-2.292977,136
114,17,-2.601251,136
114,18,-2.88299,137
114,19,-3.17216,137
114,20,-3.405526,138
135,1,1.579796,134
135,2,2.90388,134
135,3,4.064398,134
135,4,4.801087,134
135,5,5.342656,134
135,6,5.7309,134
135,7,6.00073,135
135,8,6.18016,135
135,9,5.939895,136
135,10,5.362686,137
135,11,4.800435,137
135,12,4.264467,138
135,13,3.740978,139
135,14,3.23424,139
135,15,2.742824,140
135,16,2.266726,140
135,17,1.805455,141
135,18,1.36045,142
135,19,0.935144,142
135,20,0.528357,142
136,1,1.832107,134
136,2,3.335046,134
136,3,4.651371,134
136,4,5.585007,134
136,5,6.224595,134
136,6,6.687332,134
136,7,7.012487,135
136,8,7.232039,135
136,9,7.030189,136
136,10,6.45298,137
136,11,5.890159,137
136,12,5.354759,138
136,13,4.831272,139
136,14,4.324534,139
136,15,3.833117,140
136,16,3.35702,140
136,17,2.895749,141
136,18,2.450744,142
136,19,2.025438,142
