s,a,r,sp
26201,14,-1.141895,10702
26201,15,-1.166503,5742
26201,16,-1.184575,782
26201,17,-1.209183,8532
26201,18,-1.227255,3417
26201,19,-1.245327,10857
26201,20,-1.263399,17987
30231,1,1.137857,22327
30231,2,1.132857,31782
30231,3,1.118333,6982
30231,4,1.094754,27752
30231,5,1.071774,27752
30231,6,1.0325,6982
30231,7,1.003168,31782
30231,8,0.967407,22327
30231,9,-1.067059,5587
30231,10,-1.094118,9307
30231,11,-1.128529,25117
30231,12,-1.155588,20002
30231,13,-1.182647,15507
30231,14,-1.217059,10702
30231,15,-1.251471,5742
30231,16,-1.278529,782
30231,17,-1.312941,8532
30231,18,-1.34,3417
30231,19,-1.374412,10857
30231,20,-1.401471,17987
316,1,1.126148,22327
316,2,1.130496,31782
316,3,1.116148,6982
316,4,1.101951,27752
316,5,1.070238,27752
316,6,1.039767,6982
316,7,1.002594,31782
316,8,0.974706,22327
316,9,-1.059493,5587
316,10,-1.093478,9307
316,11,-1.120217,25117
316,12,-1.146957,20002
316,13,-1.173696,15507
316,14,-1.200435,10702
316,15,-1.23442,5742
316,16,-1.261159,782
316,17,-1.295145,8532
316,18,-1.321884,3417
316,19,-1.35587,10857
316,20,-1.382609,17987
31782,1,1.111129,4348
31782,2,1.20831,4348
31782,3,1.305611,16438
31782,4,1.409752,29148
31782,5,1.466379,8223
31782,6,1.514643,33023
31782,7,1.537727,23568
31782,8,1.547156,3108
31782,9,1.556852,15353
31782,10,1.551852,27753
31782,11,1.546852,27753
31782,12,1.527156,27753
31782,13,1.479643,15353
31782,14,1.421379,15353
31782,15,1.366667,15353
31782,16,1.326504,27753
31782,17,1.277205,6983
31782,18,1.240769,18763
31782,19,1.196045,31783
31782,20,1.162774,22328
3417,1,1.144733,4348
3417,2,1.277425,4348
3417,3,1.408841,16438
3417,4,1.452603,29148
3417,5,1.447603,8223
3417,6,1.442603,33023
3417,7,1.437603,23568
3417,8,1.432603,3108
3417,9,1.427603,15353
3417,10,1.422603,27753
3417,11,1.417603,27753
3417,12,1.412603,27753
3417,13,1.407603,15353
3417,14,1.402603,15353
3417,15,1.397603,15353
3417,16,1.392603,27753
3417,17,1.387603,6983
3417,18,1.382603,18763
3417,19,1.377603,31783
3417,20,1.372603,22328
782,1,1.127597,4348
782,2,1.255432,4348
782,3,1.379558,16438
782,4,1.498519,29148
782,5,1.493519,8223
782,6,1.488519,33023
782,7,1.483519,23568
782,8,1.478519,3108
782,9,1.473519,15353
782,10,1.468519,27753
782,11,1.463519,27753
782,12,1.458519,27753
782,13,1.453519,15353
782,14,1.448519,15353
782,15,1.443519,15353
782,16,1.438519,27753
782,17,1.433519,6983
782,18,1.428519,18763
782,19,1.423519,31783
