a
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
10
10
20
18
20
20
16
17
7
13
10
10
6
6
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
8
8
12
7
12
9
11
10
14
12
10
11
13
11
11
2
2
3
3
3
3
3
3
3
3
3
3
3
3
3
3
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
8
9
9
8
8
8
8
9
12
9
11
9
10
9
9
8
9
6
6
9
9
9
6
2
3
3
3
3
3
3
3
3
3
3
3
3
3
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
8
8
9
9
6
10
9
9
9
8
9
8
7
9
9
8
8
8
3
3
1
5
2
2
2
2
2
2
2
2
2
2
2
2
2
13
13
13
13
13
13
13
13
13
13
13
13
20
19
20
20
17
20
17
6
5
8
7
6
4
6
20
20
20
6
6
4
5
4
2
5
4
4
3
3
3
3
3
3
3
3
3
3
3
3
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
5
18
19
19
20
6
6
20
20
5
6
20
20
3
6
6
18
5
3
4
5
6
2
3
9
9
9
9
9
9
9
9
9
9
9
13
13
13
13
13
13
13
13
13
13
13
16
16
19
20
20
18
20
20
18
20
20
20
20
20
20
20
20
20
20
20
20
17
20
20
3
20
3
16
16
2
2
2
2
2
2
2
2
7
7
7
7
7
7
7
7
7
7
14
14
14
14
13
17
20
20
18
19
19
20
20
20
16
16
16
18
18
18
17
20
18
18
17
20
20
18
17
14
14
14
9
9
9
9
9
9
5
5
5
5
5
5
5
5
5
7
7
7
7
7
7
17
17
17
17
17
17
17
18
17
18
18
18
17
17
17
13
13
13
15
15
15
17
17
17
17
14
13
13
9
9
9
9
9
9
9
9
9
9
9
9
9
9
9
9
9
9
9
9
9
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
