a
1
1
1
1
1
1
1
1
1
3
3
3
4
5
5
4
4
4
3
3
3
2
2
2
3
2
4
3
2
3
5
4
2
5
5
2
1
1
1
1
1
1
1
1
1
2
2
2
2
2
2
2
2
2
2
2
3
3
4
4
4
7
6
7
6
6
5
5
6
5
9
4
7
7
4
5
6
5
6
6
5
6
5
5
5
5
5
5
5
5
5
5
5
5
5
4
4
4
4
4
4
4
4
4
3
6
4
5
4
5
7
5
5
5
5
5
4
4
5
7
1
3
3
1
6
8
7
8
9
8
7
8
9
7
6
9
8
5
6
5
5
4
4
4
4
4
4
4
7
7
7
7
7
7
7
6
6
6
7
9
5
8
6
6
6
6
5
7
7
1
5
1
1
1
8
7
7
7
6
6
8
7
8
8
7
7
8
7
7
6
6
5
4
4
4
4
4
4
17
17
17
17
17
17
16
19
20
19
20
20
20
20
20
20
20
20
20
2
20
20
20
8
3
1
9
7
6
7
6
6
6
5
6
5
6
6
5
5
6
5
5
5
4
4
4
4
4
9
9
9
9
9
9
14
14
14
19
19
19
20
20
20
20
20
20
20
20
20
20
20
20
20
20
6
15
6
19
19
20
20
4
5
5
3
4
20
20
4
20
20
4
4
3
3
3
3
8
8
8
8
8
8
11
11
11
15
15
17
15
20
20
20
20
19
19
19
4
20
1
20
20
20
15
16
16
20
20
20
18
18
20
19
19
20
15
20
20
20
16
16
16
13
10
10
6
6
6
6
6
6
12
12
12
12
12
12
12
8
14
15
15
20
20
15
15
19
20
20
20
11
18
13
13
13
14
14
19
19
20
20
17
17
20
20
16
20
15
13
13
13
13
10
10
9
9
9
9
9
9
9
9
9
9
9
9
9
9
11
11
11
11
11
11
11
11
11
11
11
11
11
11
10
10
10
12
14
14
17
17
18
10
10
16
18
17
17
16
16
11
11
11
11
11
11
11
11
11
11
11
11
11
11
11
11
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
17
