,state,state_p,act,r_acc
0,"(3, 26)","(3, 27)",10.0,-0.100034
1,"(3, 26)","(3, 27)",20.0,-0.200068
2,"(3, 26)","(3, 27)",30.0,-0.300102
3,"(3, 26)","(3, 26)",40.0,-0.400135
4,"(3, 26)","(3, 26)",50.0,-0.500169
5,"(3, 26)","(3, 26)",60.0,-5.0993
6,"(3, 26)","(3, 26)",70.0,-10.492915
7,"(3, 26)","(3, 26)",80.0,-15.707677
8,"(3, 26)","(3, 26)",90.0,-20.707257
9,"(3, 26)","(3, 26)",100.0,-25.523455
10,"(3, 26)","(3, 26)",110.0,-30.182116
11,"(3, 26)","(3, 26)",120.0,-34.703481
12,"(3, 26)","(3, 26)",130.0,-39.121873
13,"(3, 26)","(3, 26)",140.0,-43.449105
14,"(3, 26)","(3, 26)",150.0,-47.702948
15,"(3, 26)","(3, 26)",160.0,-51.895406
16,"(3, 26)","(3, 26)",170.0,-56.032191
17,"(3, 26)","(3, 26)",180.0,-60.120751
18,"(3, 26)","(3, 26)",190.0,-64.147331
19,"(3, 26)","(3, 26)",200.0,-68.139367
20,"(3, 26)","(3, 26)",10.0,1.601239
21,"(3, 26)","(3, 26)",20.0,1.501239
22,"(3, 26)","(3, 27)",30.0,1.401239
23,"(3, 26)","(3, 27)",40.0,1.301239
24,"(3, 26)","(3, 28)",50.0,1.201239
25,"(3, 26)","(3, 29)",60.0,1.101239
26,"(3, 26)","(3, 30)",70.0,1.001239
27,"(3, 26)","(3, 31)",80.0,0.901239
28,"(3, 26)","(3, 31)",90.0,0.801239
29,"(3, 26)","(3, 26)",100.0,0.701239
30,"(3, 26)","(3, 26)",110.0,0.601239
31,"(3, 26)","(3, 26)",120.0,0.501239
32,"(3, 26)","(3, 26)",130.0,0.401239
33,"(3, 26)","(3, 26)",140.0,0.301239
34,"(3, 26)","(3, 26)",150.0,0.201239
35,"(3, 26)","(3, 26)",160.0,0.101239
36,"(3, 26)","(3, 26)",170.0,0.001239
37,"(3, 26)","(3, 26)",180.0,-0.098761
38,"(3, 26)","(3, 26)",190.0,-0.198761
39,"(3, 26)","(3, 26)",200.0,-0.298761
40,"(3, 27)","(3, 26)",10.0,1.343618
41,"(3, 27)","(3, 26)",20.0,1.380692
42,"(3, 27)","(3, 27)",30.0,1.41777
43,"(3, 27)","(3, 27)",40.0,1.45485
44,"(3, 27)","(3, 28)",50.0,1.491931
45,"(3, 27)","(3, 29)",60.0,1.529013
46,"(3, 27)","(3, 30)",70.0,1.566095
47,"(3, 27)","(3, 31)",80.0,1.603177
48,"(3, 27)","(3, 31)",90.0,1.64026
49,"(3, 27)","(3, 26)",100.0,1.677343
50,"(3, 27)","(3, 26)",110.0,1.714426
51,"(3, 27)","(3, 26)",120.0,1.75151
52,"(3, 27)","(3, 26)",130.0,1.788593
53,"(3, 27)","(3, 26)",140.0,1.825676
54,"(3, 27)","(3, 26)",150.0,1.86276
55,"(3, 27)","(3, 26)",160.0,1.899843
56,"(3, 27)","(3, 26)",170.0,1.936927
57,"(3, 27)","(3, 26)",180.0,1.905593
58,"(3, 27)","(3, 26)",190.0,1.805593
59,"(3, 27)","(3, 26)",200.0,1.705593
60,"(3, 27)","(3, 26)",10.0,1.360514
61,"(3, 27)","(3, 26)",20.0,1.489869
62,"(3, 27)","(3, 27)",30.0,1.619227
63,"(3, 27)","(3, 27)",40.0,1.667328
64,"(3, 27)","(3, 28)",50.0,1.567328
65,"(3, 27)","(3, 29)",60.0,1.467328
66,"(3, 27)","(3, 30)",70.0,1.367328
67,"(3, 27)","(3, 31)",80.0,1.267328
68,"(3, 27)","(3, 31)",90.0,1.167328
69,"(3, 27)","(3, 26)",100.0,1.067328
70,"(3, 27)","(3, 26)",110.0,0.967328
71,"(3, 27)","(3, 26)",120.0,0.867328
72,"(3, 27)","(3, 26)",130.0,0.767328
73,"(3, 27)","(3, 26)",140.0,0.667328
74,"(3, 27)","(3, 26)",150.0,0.567328
75,"(3, 27)","(3, 26)",160.0,0.467328
76,"(3, 27)","(3, 26)",170.0,0.367328
77,"(3, 27)","(3, 26)",180.0,0.267328
78,"(3, 27)","(3, 26)",190.0,0.167328
79,"(3, 27)","(3, 26)",200.0,0.067328
80,"(3, 29)","(3, 26)",10.0,-0.1
81,"(3, 29)","(3, 26)",20.0,-0.2
82,"(3, 29)","(3, 26)",30.0,-0.3
83,"(3, 29)","(3, 25)",40.0,-0.4
84,"(3, 29)","(3, 25)",50.0,-0.5
85,"(3, 29)","(3, 25)",60.0,-0.6
86,"(3, 29)","(3, 25)",70.0,-0.7
87,"(3, 29)","(3, 25)",80.0,-1.196712
88,"(3, 29)","(3, 26)",90.0,-5.666299
89,"(3, 29)","(3, 26)",100.0,-10.030518
90,"(3, 29)","(3, 26)",110.0,-14.241054
91,"(3, 29)","(3, 26)",120.0,-18.360511
92,"(3, 29)","(3, 26)",130.0,-22.344822
93,"(3, 29)","(3, 26)",140.0,-26.218313
94,"(3, 29)","(3, 26)",150.0,-30.016314
95,"(3, 29)","(3, 26)",160.0,-33.765585
96,"(3, 29)","(3, 26)",170.0,-37.441327
97,"(3, 29)","(3, 26)",180.0,-41.06507
98,"(3, 29)","(3, 26)",190.0,-44.644133
99,"(3, 29)","(3, 26)",200.0,-48.205712
100,"(3, 27)","(3, 26)",10.0,-0.1
101,"(3, 27)","(3, 26)",20.0,-0.2
102,"(3, 27)","(3, 26)",30.0,-0.3
103,"(3, 27)","(3, 25)",40.0,-0.4
104,"(3, 27)","(3, 25)",50.0,-0.5
105,"(3, 27)","(3, 25)",60.0,-0.6
106,"(3, 27)","(3, 25)",70.0,-0.7
107,"(3, 27)","(3, 25)",80.0,-0.8
108,"(3, 27)","(3, 26)",90.0,-0.9
109,"(3, 27)","(3, 26)",100.0,-1.0
110,"(3, 27)","(3, 26)",110.0,-1.408877
111,"(3, 27)","(3, 26)",120.0,-5.527677
112,"(3, 27)","(3, 26)",130.0,-9.511362
113,"(3, 27)","(3, 26)",140.0,-13.384405
114,"(3, 27)","(3, 26)",150.0,-17.184753
115,"(3, 27)","(3, 26)",160.0,-20.93403
116,"(3, 27)","(3, 26)",170.0,-24.609766
117,"(3, 27)","(3, 26)",180.0,-28.233509
118,"(3, 27)","(3, 26)",190.0,-31.812573
119,"(3, 27)","(3, 26)",200.0,-35.374152
120,"(3, 26)","(3, 26)",10.0,1.036358
121,"(3, 26)","(3, 26)",20.0,0.936358
122,"(3, 26)","(3, 26)",30.0,0.836358
123,"(3, 26)","(3, 25)",40.0,0.353258
124,"(3, 26)","(3, 25)",50.0,-4.466227
125,"(3, 26)","(3, 25)",60.0,-9.17991
126,"(3, 26)","(3, 25)",70.0,-13.843958
127,"(3, 26)","(3, 25)",80.0,-18.438112
128,"(3, 26)","(3, 26)",90.0,-22.909382
129,"(3, 26)","(3, 26)",100.0,-27.273602
130,"(3, 26)","(3, 26)",110.0,-31.491153
131,"(3, 26)","(3, 26)",120.0,-35.592292
132,"(3, 26)","(3, 26)",130.0,-39.567937
133,"(3, 26)","(3, 26)",140.0,-43.454075
134,"(3, 26)","(3, 26)",150.0,-47.259398
135,"(3, 26)","(3, 26)",160.0,-51.008651
136,"(3, 26)","(3, 26)",170.0,-54.684412
137,"(3, 26)","(3, 26)",180.0,-58.308154
138,"(3, 26)","(3, 26)",190.0,-61.887218
139,"(3, 26)","(3, 26)",200.0,-65.448797
140,"(3, 25)","(3, 26)",10.0,-0.1
141,"(3, 25)","(3, 26)",20.0,-0.2
142,"(3, 25)","(3, 26)",30.0,-0.3
143,"(3, 25)","(3, 26)",40.0,-0.4
144,"(3, 25)","(3, 27)",50.0,-0.5
145,"(3, 25)","(3, 27)",60.0,-0.6
146,"(3, 25)","(3, 27)",70.0,-0.7
147,"(3, 25)","(3, 27)",80.0,-0.8
148,"(3, 25)","(3, 27)",90.0,-0.9
149,"(3, 25)","(3, 27)",100.0,-1.0
150,"(3, 25)","(3, 27)",110.0,-1.1
151,"(3, 25)","(3, 27)",120.0,-1.2
152,"(3, 25)","(3, 27)",130.0,-1.3
153,"(3, 25)","(3, 27)",140.0,-1.4
154,"(3, 25)","(3, 27)",150.0,-1.5
155,"(3, 25)","(3, 27)",160.0,-1.6
156,"(3, 25)","(3, 27)",170.0,-1.7
157,"(3, 25)","(3, 27)",180.0,-1.8
158,"(3, 25)","(3, 27)",190.0,-1.9
159,"(3, 25)","(3, 27)",200.0,-2.0
160,"(3, 26)","(3, 26)",10.0,-0.1
161,"(3, 26)","(3, 26)",20.0,-0.2
162,"(3, 26)","(3, 26)",30.0,-0.3
163,"(3, 26)","(3, 26)",40.0,-0.4
164,"(3, 26)","(3, 27)",50.0,-0.5
165,"(3, 26)","(3, 27)",60.0,-0.6
166,"(3, 26)","(3, 27)",70.0,-0.7
167,"(3, 26)","(3, 27)",80.0,-0.8
168,"(3, 26)","(3, 27)",90.0,-0.9
169,"(3, 26)","(3, 27)",100.0,-1.0
170,"(3, 26)","(3, 27)",110.0,-1.1
171,"(3, 26)","(3, 27)",120.0,-1.2
172,"(3, 26)","(3, 27)",130.0,-1.3
173,"(3, 26)","(3, 27)",140.0,-1.4
174,"(3, 26)","(3, 27)",150.0,-1.5
175,"(3, 26)","(3, 27)",160.0,-1.6
176,"(3, 26)","(3, 27)",170.0,-1.7
177,"(3, 26)","(3, 27)",180.0,-1.8
178,"(3, 26)","(3, 27)",190.0,-1.9
179,"(3, 26)","(3, 27)",200.0,-2.0
200,"(3, 27)","(2, 26)",10.0,1.635184
201,"(3, 27)","(2, 26)",20.0,1.535184
202,"(3, 27)","(2, 26)",30.0,1.435184
203,"(3, 27)","(2, 26)",40.0,1.335184
204,"(3, 27)","(2, 26)",50.0,1.235184
205,"(3, 27)","(2, 26)",60.0,1.135184
206,"(3, 27)","(2, 27)",70.0,1.035184
207,"(3, 27)","(2, 27)",80.0,0.935184
208,"(3, 27)","(2, 27)",90.0,0.835184
209,"(3, 27)","(2, 27)",100.0,0.735184
210,"(3, 27)","(2, 27)",110.0,-0.723482
211,"(3, 27)","(2, 27)",120.0,-4.257519
212,"(3, 27)","(2, 27)",130.0,-7.765924
213,"(3, 27)","(2, 27)",140.0,-11.152225
214,"(3, 27)","(2, 27)",150.0,-15.31072
215,"(3, 27)","(2, 27)",160.0,-20.055558
216,"(3, 27)","(2, 27)",170.0,-24.740439
217,"(3, 27)","(2, 27)",180.0,-29.349798
218,"(3, 27)","(2, 27)",190.0,-33.802128
219,"(3, 27)","(2, 27)",200.0,-38.161933
220,"(3, 27)","(2, 26)",10.0,1.787357
221,"(3, 27)","(2, 26)",20.0,2.794627
222,"(3, 27)","(2, 26)",30.0,2.415284
223,"(3, 27)","(2, 26)",40.0,1.550682
224,"(3, 27)","(2, 26)",50.0,-0.069428
225,"(3, 27)","(2, 26)",60.0,-2.25567
226,"(3, 27)","(2, 27)",70.0,-4.826775
227,"(3, 27)","(2, 27)",80.0,-7.600927
228,"(3, 27)","(2, 27)",90.0,-10.472488
229,"(3, 27)","(2, 27)",100.0,-13.498824
230,"(3, 27)","(2, 27)",110.0,-18.644036
231,"(3, 27)","(2, 27)",120.0,-23.673374
232,"(3, 27)","(2, 27)",130.0,-28.611876
233,"(3, 27)","(2, 27)",140.0,-33.492118
234,"(3, 27)","(2, 27)",150.0,-38.304398
235,"(3, 27)","(2, 27)",160.0,-43.048309
236,"(3, 27)","(2, 27)",170.0,-47.734115
237,"(3, 27)","(2, 27)",180.0,-52.343486
238,"(3, 27)","(2, 27)",190.0,-56.791667
239,"(3, 27)","(2, 27)",200.0,-61.149316
240,"(3, 27)","(2, 26)",10.0,0.919933
241,"(3, 27)","(2, 26)",20.0,0.819933
242,"(3, 27)","(2, 26)",30.0,0.719933
243,"(3, 27)","(2, 26)",40.0,0.619933
244,"(3, 27)","(2, 26)",50.0,0.519933
245,"(3, 27)","(2, 26)",60.0,0.419933
246,"(3, 27)","(2, 27)",70.0,0.319933
247,"(3, 27)","(2, 27)",80.0,0.219933
248,"(3, 27)","(2, 27)",90.0,0.119933
249,"(3, 27)","(2, 27)",100.0,0.019933
250,"(3, 27)","(2, 27)",110.0,-0.080067
251,"(3, 27)","(2, 27)",120.0,-0.180067
252,"(3, 27)","(2, 27)",130.0,-0.280067
253,"(3, 27)","(2, 27)",140.0,-0.380067
254,"(3, 27)","(2, 27)",150.0,-0.480067
255,"(3, 27)","(2, 27)",160.0,-0.580067
256,"(3, 27)","(2, 27)",170.0,-0.680067
257,"(3, 27)","(2, 27)",180.0,-0.780067
258,"(3, 27)","(2, 27)",190.0,-0.880067
259,"(3, 27)","(2, 27)",200.0,-0.980067
260,"(2, 26)","(3, 27)",10.0,0.121823
261,"(2, 26)","(3, 26)",20.0,0.021823
262,"(2, 26)","(3, 26)",30.0,-0.078177
263,"(2, 26)","(3, 26)",40.0,-0.178177
264,"(2, 26)","(3, 26)",50.0,-0.278177
265,"(2, 26)","(3, 26)",60.0,-0.378177
266,"(2, 26)","(3, 26)",70.0,-0.478177
267,"(2, 26)","(3, 26)",80.0,-0.578177
268,"(2, 26)","(3, 26)",90.0,-0.678177
269,"(2, 26)","(3, 26)",100.0,-0.778177
270,"(2, 26)","(3, 26)",110.0,-0.878177
271,"(2, 26)","(3, 27)",120.0,-0.978177
272,"(2, 26)","(3, 27)",130.0,-1.078177
273,"(2, 26)","(3, 27)",140.0,-1.178177
274,"(2, 26)","(3, 27)",150.0,-1.278177
275,"(2, 26)","(3, 27)",160.0,-1.378177
276,"(2, 26)","(3, 27)",170.0,-1.478177
277,"(2, 26)","(3, 26)",180.0,-1.578177
278,"(2, 26)","(3, 26)",190.0,-1.678177
279,"(2, 26)","(3, 26)",200.0,-1.778177
280,"(2, 27)","(3, 27)",10.0,-0.1
281,"(2, 27)","(3, 26)",20.0,-0.2
282,"(2, 27)","(3, 26)",30.0,-0.3
283,"(2, 27)","(3, 26)",40.0,-0.4
284,"(2, 27)","(3, 26)",50.0,-0.5
285,"(2, 27)","(3, 26)",60.0,-0.6
286,"(2, 27)","(3, 26)",70.0,-0.7
287,"(2, 27)","(3, 26)",80.0,-0.8
288,"(2, 27)","(3, 26)",90.0,-0.9
289,"(2, 27)","(3, 26)",100.0,-1.0
290,"(2, 27)","(3, 26)",110.0,-1.1
291,"(2, 27)","(3, 27)",120.0,-1.2
292,"(2, 27)","(3, 27)",130.0,-1.3
293,"(2, 27)","(3, 27)",140.0,-1.4
294,"(2, 27)","(3, 27)",150.0,-1.5
295,"(2, 27)","(3, 27)",160.0,-1.6
296,"(2, 27)","(3, 27)",170.0,-1.7
297,"(2, 27)","(3, 26)",180.0,-1.8
298,"(2, 27)","(3, 26)",190.0,-1.9
299,"(2, 27)","(3, 26)",200.0,-2.0
320,"(3, 26)","(3, 25)",10.0,2.147957
321,"(3, 26)","(3, 25)",20.0,2.047957
322,"(3, 26)","(3, 25)",30.0,1.947957
323,"(3, 26)","(3, 25)",40.0,1.847957
324,"(3, 26)","(3, 25)",50.0,1.747957
325,"(3, 26)","(3, 26)",60.0,1.647957
326,"(3, 26)","(3, 26)",70.0,1.547957
327,"(3, 26)","(3, 26)",80.0,1.447957
328,"(3, 26)","(3, 26)",90.0,1.347957
329,"(3, 26)","(3, 26)",100.0,1.247957
330,"(3, 26)","(3, 26)",110.0,1.147957
331,"(3, 26)","(3, 26)",120.0,1.047957
332,"(3, 26)","(3, 26)",130.0,0.947957
333,"(3, 26)","(3, 26)",140.0,0.847957
334,"(3, 26)","(3, 26)",150.0,0.747957
335,"(3, 26)","(3, 26)",160.0,0.647957
336,"(3, 26)","(3, 26)",170.0,0.547957
337,"(3, 26)","(3, 26)",180.0,0.447957
338,"(3, 26)","(3, 26)",190.0,0.347957
339,"(3, 26)","(3, 26)",200.0,0.247957
340,"(3, 27)","(3, 25)",10.0,2.290389
341,"(3, 27)","(3, 25)",20.0,2.634722
342,"(3, 27)","(3, 25)",30.0,2.534722
343,"(3, 27)","(3, 25)",40.0,2.434722
344,"(3, 27)","(3, 25)",50.0,2.334722
345,"(3, 27)","(3, 26)",60.0,2.234722
346,"(3, 27)","(3, 26)",70.0,2.134722
347,"(3, 27)","(3, 26)",80.0,2.034722
348,"(3, 27)","(3, 26)",90.0,1.934722
349,"(3, 27)","(3, 26)",100.0,1.834722
350,"(3, 27)","(3, 26)",110.0,1.734722
351,"(3, 27)","(3, 26)",120.0,1.634722
352,"(3, 27)","(3, 26)",130.0,1.534722
353,"(3, 27)","(3, 26)",140.0,1.434722
354,"(3, 27)","(3, 26)",150.0,1.334722
355,"(3, 27)","(3, 26)",160.0,1.234722
356,"(3, 27)","(3, 26)",170.0,1.134722
357,"(3, 27)","(3, 26)",180.0,1.034722
358,"(3, 27)","(3, 26)",190.0,0.934722
359,"(3, 27)","(3, 26)",200.0,0.556105
360,"(3, 26)","(3, 25)",10.0,2.217238
361,"(3, 26)","(3, 25)",20.0,2.117238
362,"(3, 26)","(3, 25)",30.0,2.017238
363,"(3, 26)","(3, 25)",40.0,1.917238
364,"(3, 26)","(3, 25)",50.0,1.817238
365,"(3, 26)","(3, 26)",60.0,1.717238
366,"(3, 26)","(3, 26)",70.0,1.617238
367,"(3, 26)","(3, 26)",80.0,1.517238
368,"(3, 26)","(3, 26)",90.0,1.417238
369,"(3, 26)","(3, 26)",100.0,1.317238
370,"(3, 26)","(3, 26)",110.0,1.217238
371,"(3, 26)","(3, 26)",120.0,1.117238
372,"(3, 26)","(3, 26)",130.0,1.017238
373,"(3, 26)","(3, 26)",140.0,0.917238
374,"(3, 26)","(3, 26)",150.0,0.817238
375,"(3, 26)","(3, 26)",160.0,0.717238
376,"(3, 26)","(3, 26)",170.0,0.617238
377,"(3, 26)","(3, 26)",180.0,0.517238
378,"(3, 26)","(3, 26)",190.0,0.417238
379,"(3, 26)","(3, 26)",200.0,0.317238
380,"(3, 26)","(3, 26)",10.0,2.743101
381,"(3, 26)","(3, 27)",20.0,2.643101
382,"(3, 26)","(3, 27)",30.0,2.543101
383,"(3, 26)","(3, 27)",40.0,2.443101
384,"(3, 26)","(3, 27)",50.0,2.343101
385,"(3, 26)","(3, 27)",60.0,2.243101
386,"(3, 26)","(3, 27)",70.0,2.143101
387,"(3, 26)","(3, 27)",80.0,2.043101
388,"(3, 26)","(3, 27)",90.0,1.943101
389,"(3, 26)","(3, 27)",100.0,1.843101
390,"(3, 26)","(3, 27)",110.0,1.743101
391,"(3, 26)","(3, 27)",120.0,1.643101
392,"(3, 26)","(3, 26)",130.0,1.543101
393,"(3, 26)","(3, 26)",140.0,1.443101
394,"(3, 26)","(3, 25)",150.0,1.343101
395,"(3, 26)","(3, 24)",160.0,1.243101
396,"(3, 26)","(3, 22)",170.0,1.143101
397,"(3, 26)","(3, 18)",180.0,1.043101
398,"(3, 26)","(3, 16)",190.0,0.943101
399,"(3, 26)","(3, 16)",200.0,0.843101
400,"(3, 26)","(3, 26)",10.0,1.279679
401,"(3, 26)","(3, 27)",20.0,1.179679
402,"(3, 26)","(3, 27)",30.0,1.079679
403,"(3, 26)","(3, 27)",40.0,0.979679
404,"(3, 26)","(3, 27)",50.0,0.879679
405,"(3, 26)","(3, 27)",60.0,0.779679
406,"(3, 26)","(3, 27)",70.0,0.679679
407,"(3, 26)","(3, 27)",80.0,0.579679
408,"(3, 26)","(3, 27)",90.0,0.479679
409,"(3, 26)","(3, 27)",100.0,0.379679
410,"(3, 26)","(3, 27)",110.0,0.279679
411,"(3, 26)","(3, 27)",120.0,0.179679
412,"(3, 26)","(3, 26)",130.0,0.079679
413,"(3, 26)","(3, 26)",140.0,-0.020321
414,"(3, 26)","(3, 25)",150.0,-0.120321
415,"(3, 26)","(3, 24)",160.0,-0.220321
416,"(3, 26)","(3, 22)",170.0,-0.320321
417,"(3, 26)","(3, 18)",180.0,-0.420321
418,"(3, 26)","(3, 16)",190.0,-0.520321
419,"(3, 26)","(3, 16)",200.0,-0.620321
420,"(3, 26)","(3, 26)",10.0,0.0254
421,"(3, 26)","(3, 27)",20.0,-0.0746
422,"(3, 26)","(3, 27)",30.0,-0.1746
423,"(3, 26)","(3, 27)",40.0,-0.2746
424,"(3, 26)","(3, 27)",50.0,-0.3746
425,"(3, 26)","(3, 27)",60.0,-0.4746
426,"(3, 26)","(3, 27)",70.0,-0.5746
427,"(3, 26)","(3, 27)",80.0,-0.6746
428,"(3, 26)","(3, 27)",90.0,-0.7746
429,"(3, 26)","(3, 27)",100.0,-0.8746
430,"(3, 26)","(3, 27)",110.0,-0.9746
431,"(3, 26)","(3, 27)",120.0,-1.0746
432,"(3, 26)","(3, 26)",130.0,-1.1746
433,"(3, 26)","(3, 26)",140.0,-1.2746
434,"(3, 26)","(3, 25)",150.0,-1.3746
435,"(3, 26)","(3, 24)",160.0,-1.4746
436,"(3, 26)","(3, 22)",170.0,-1.5746
437,"(3, 26)","(3, 18)",180.0,-1.6746
438,"(3, 26)","(3, 16)",190.0,-1.7746
439,"(3, 26)","(3, 16)",200.0,-1.8746
440,"(3, 27)","(3, 27)",10.0,2.905386
441,"(3, 27)","(3, 27)",20.0,2.805386
442,"(3, 27)","(3, 27)",30.0,2.705386
443,"(3, 27)","(3, 26)",40.0,2.605386
444,"(3, 27)","(3, 26)",50.0,2.505386
445,"(3, 27)","(3, 25)",60.0,2.405386
446,"(3, 27)","(3, 24)",70.0,2.305386
447,"(3, 27)","(3, 23)",80.0,2.205386
448,"(3, 27)","(3, 22)",90.0,2.105386
449,"(3, 27)","(3, 21)",100.0,2.005386
450,"(3, 27)","(3, 20)",110.0,1.905386
451,"(3, 27)","(3, 26)",120.0,1.805386
452,"(3, 27)","(3, 26)",130.0,1.705386
453,"(3, 27)","(3, 26)",140.0,1.605386
454,"(3, 27)","(3, 26)",150.0,1.505386
455,"(3, 27)","(3, 26)",160.0,1.405386
456,"(3, 27)","(3, 26)",170.0,1.305386
457,"(3, 27)","(3, 26)",180.0,1.205386
458,"(3, 27)","(3, 26)",190.0,1.105386
459,"(3, 27)","(3, 26)",200.0,1.005386
460,"(3, 27)","(3, 27)",10.0,4.693827
461,"(3, 27)","(3, 27)",20.0,4.593827
462,"(3, 27)","(3, 27)",30.0,4.493827
463,"(3, 27)","(3, 26)",40.0,4.393827
464,"(3, 27)","(3, 26)",50.0,4.293827
465,"(3, 27)","(3, 25)",60.0,4.193827
466,"(3, 27)","(3, 24)",70.0,4.093827
467,"(3, 27)","(3, 23)",80.0,3.993827
468,"(3, 27)","(3, 22)",90.0,3.893827
469,"(3, 27)","(3, 21)",100.0,3.793827
470,"(3, 27)","(3, 20)",110.0,3.693827
471,"(3, 27)","(3, 26)",120.0,3.593827
472,"(3, 27)","(3, 26)",130.0,3.493827
473,"(3, 27)","(3, 26)",140.0,3.393827
474,"(3, 27)","(3, 26)",150.0,3.293827
475,"(3, 27)","(3, 26)",160.0,3.193827
476,"(3, 27)","(3, 26)",170.0,3.093827
477,"(3, 27)","(3, 26)",180.0,2.993827
478,"(3, 27)","(3, 26)",190.0,2.893827
479,"(3, 27)","(3, 26)",200.0,2.793827
480,"(3, 27)","(3, 27)",10.0,4.721477
481,"(3, 27)","(3, 27)",20.0,4.621477
482,"(3, 27)","(3, 27)",30.0,4.521477
483,"(3, 27)","(3, 26)",40.0,4.421477
484,"(3, 27)","(3, 26)",50.0,4.321477
485,"(3, 27)","(3, 25)",60.0,4.221477
486,"(3, 27)","(3, 24)",70.0,4.121477
487,"(3, 27)","(3, 23)",80.0,4.021477
488,"(3, 27)","(3, 22)",90.0,3.921477
489,"(3, 27)","(3, 21)",100.0,3.821477
490,"(3, 27)","(3, 20)",110.0,3.721477
491,"(3, 27)","(3, 26)",120.0,3.621477
492,"(3, 27)","(3, 26)",130.0,3.521477
493,"(3, 27)","(3, 26)",140.0,3.421477
494,"(3, 27)","(3, 26)",150.0,3.321477
495,"(3, 27)","(3, 26)",160.0,3.221477
496,"(3, 27)","(3, 26)",170.0,3.121477
497,"(3, 27)","(3, 26)",180.0,3.021477
498,"(3, 27)","(3, 26)",190.0,2.921477
499,"(3, 27)","(3, 26)",200.0,2.821477
500,"(3, 20)","(3, 26)",10.0,1.014955
501,"(3, 20)","(3, 26)",20.0,1.77745
502,"(3, 20)","(3, 26)",30.0,1.804223
503,"(3, 20)","(3, 26)",40.0,1.882314
504,"(3, 20)","(3, 26)",50.0,1.66611
505,"(3, 20)","(3, 26)",60.0,1.163303
506,"(3, 20)","(3, 26)",70.0,0.396689
507,"(3, 20)","(3, 26)",80.0,-0.599718
508,"(3, 20)","(3, 26)",90.0,-1.784564
509,"(3, 20)","(3, 26)",100.0,-3.112714
510,"(3, 20)","(3, 26)",110.0,-4.538255
511,"(3, 20)","(3, 26)",120.0,-6.046124
512,"(3, 20)","(3, 26)",130.0,-7.560857
513,"(3, 20)","(3, 26)",140.0,-10.240706
514,"(3, 20)","(3, 26)",150.0,-15.237119
515,"(3, 20)","(3, 26)",160.0,-20.165595
516,"(3, 20)","(3, 26)",170.0,-25.018861
517,"(3, 20)","(3, 26)",180.0,-29.768714
518,"(3, 20)","(3, 26)",190.0,-34.382526
519,"(3, 20)","(3, 26)",200.0,-38.830116
520,"(3, 26)","(3, 26)",10.0,4.191496
521,"(3, 26)","(3, 26)",20.0,8.271003
522,"(3, 26)","(3, 26)",30.0,12.534331
523,"(3, 26)","(3, 26)",40.0,16.119964
524,"(3, 26)","(3, 26)",50.0,18.513058
525,"(3, 26)","(3, 26)",60.0,20.50798
526,"(3, 26)","(3, 26)",70.0,21.317351
527,"(3, 26)","(3, 26)",80.0,15.414352
528,"(3, 26)","(3, 26)",90.0,9.761623
529,"(3, 26)","(3, 26)",100.0,4.303347
530,"(3, 26)","(3, 26)",110.0,-1.011859
531,"(3, 26)","(3, 26)",120.0,-6.220684
532,"(3, 26)","(3, 26)",130.0,-11.354186
533,"(3, 26)","(3, 26)",140.0,-16.415274
534,"(3, 26)","(3, 26)",150.0,-21.411686
535,"(3, 26)","(3, 26)",160.0,-26.340137
536,"(3, 26)","(3, 26)",170.0,-31.193416
537,"(3, 26)","(3, 26)",180.0,-35.943283
538,"(3, 26)","(3, 26)",190.0,-40.553425
539,"(3, 26)","(3, 26)",200.0,-44.999675
540,"(3, 26)","(3, 26)",10.0,2.354114
541,"(3, 26)","(3, 26)",20.0,4.335916
542,"(3, 26)","(3, 26)",30.0,6.548122
543,"(3, 26)","(3, 26)",40.0,8.874016
544,"(3, 26)","(3, 26)",50.0,11.26372
545,"(3, 26)","(3, 26)",60.0,13.828022
546,"(3, 26)","(3, 26)",70.0,16.996677
547,"(3, 26)","(3, 26)",80.0,12.681094
548,"(3, 26)","(3, 26)",90.0,7.028362
549,"(3, 26)","(3, 26)",100.0,1.570088
550,"(3, 26)","(3, 26)",110.0,-3.745109
551,"(3, 26)","(3, 26)",120.0,-8.953946
552,"(3, 26)","(3, 26)",130.0,-14.087448
553,"(3, 26)","(3, 26)",140.0,-19.148528
554,"(3, 26)","(3, 26)",150.0,-24.144944
555,"(3, 26)","(3, 26)",160.0,-29.073394
556,"(3, 26)","(3, 26)",170.0,-33.926678
557,"(3, 26)","(3, 26)",180.0,-38.67654
558,"(3, 26)","(3, 26)",190.0,-43.286668
559,"(3, 26)","(3, 26)",200.0,-47.732672
560,"(3, 26)","(3, 26)",10.0,13.345703
561,"(3, 26)","(3, 25)",20.0,13.245703
562,"(3, 26)","(3, 25)",30.0,13.145703
563,"(3, 26)","(3, 26)",40.0,13.045703
564,"(3, 26)","(3, 26)",50.0,12.945703
565,"(3, 26)","(3, 26)",60.0,12.845703
566,"(3, 26)","(3, 26)",70.0,12.745703
567,"(3, 26)","(3, 26)",80.0,12.645703
568,"(3, 26)","(3, 26)",90.0,12.545703
569,"(3, 26)","(3, 26)",100.0,12.445703
570,"(3, 26)","(3, 26)",110.0,12.345703
