,state,state_p,act,r_disp
73,"(9.5e-05, 2.86)","(1.4e-05, 3.08)",140.0,0.941976
74,"(9.5e-05, 2.86)","(1.7e-05, 3.08)",150.0,-1.080917
75,"(9.5e-05, 2.86)","(2e-05, 3.08)",160.0,-1.097751
76,"(9.5e-05, 2.86)","(2.3e-05, 3.08)",170.0,-1.120503
77,"(9.5e-05, 2.86)","(2.6e-05, 3.08)",180.0,-1.137337
78,"(9.5e-05, 2.86)","(2.9e-05, 3.08)",190.0,-1.154172
79,"(9.5e-05, 2.86)","(3.3e-05, 3.08)",200.0,-1.171006
80,"(1.4e-05, 3.08)","(9.6e-05, 2.508)",10.0,1.004091
81,"(1.4e-05, 3.08)","(9.9e-05, 2.508)",20.0,1.008349
82,"(1.4e-05, 3.08)","(0.000102, 2.508)",30.0,1.003349
83,"(1.4e-05, 3.08)","(0.000104, 2.508)",40.0,0.998349
84,"(1.4e-05, 3.08)","(0.000105, 2.508)",50.0,1.002778
85,"(1.4e-05, 3.08)","(0.000105, 2.508)",60.0,1.007383
86,"(1.4e-05, 3.08)","(0.000103, 2.508)",70.0,1.01217
87,"(1.4e-05, 3.08)","(0.000101, 2.508)",80.0,1.017143
88,"(1.4e-05, 3.08)","(9.9e-05, 2.508)",90.0,0.973349
89,"(1.4e-05, 3.08)","(9.7e-05, 2.508)",100.0,-1.077027
90,"(1.4e-05, 3.08)","(9.7e-05, 2.508)",110.0,-1.118063
91,"(1.4e-05, 3.08)","(9.8e-05, 2.508)",120.0,-1.168108
92,"(1.4e-05, 3.08)","(9.9e-05, 2.508)",130.0,-1.209144
93,"(1.4e-05, 3.08)","(0.000101, 2.508)",140.0,-1.241171
94,"(1.4e-05, 3.08)","(0.000103, 2.508)",150.0,-1.282207
95,"(1.4e-05, 3.08)","(0.000105, 2.508)",160.0,-1.323243
96,"(1.4e-05, 3.08)","(0.000107, 2.508)",170.0,-1.364279
97,"(1.4e-05, 3.08)","(0.00011, 2.508)",180.0,-1.396306
98,"(1.4e-05, 3.08)","(0.000113, 2.508)",190.0,-1.428333
99,"(1.4e-05, 3.08)","(0.000116, 2.508)",200.0,-1.469369
100,"(7e-06, 3.08)","(9.6e-05, 2.508)",10.0,-0.005
101,"(7e-06, 3.08)","(9.9e-05, 2.508)",20.0,-0.01
102,"(7e-06, 3.08)","(0.000102, 2.508)",30.0,-0.015
103,"(7e-06, 3.08)","(0.000104, 2.508)",40.0,-0.02
104,"(7e-06, 3.08)","(0.000105, 2.508)",50.0,-0.025
105,"(7e-06, 3.08)","(0.000105, 2.508)",60.0,-0.03
106,"(7e-06, 3.08)","(0.000103, 2.508)",70.0,-0.035
107,"(7e-06, 3.08)","(0.000101, 2.508)",80.0,-0.04
108,"(7e-06, 3.08)","(9.9e-05, 2.508)",90.0,-0.045
109,"(7e-06, 3.08)","(9.7e-05, 2.508)",100.0,-1.077027
110,"(7e-06, 3.08)","(9.7e-05, 2.508)",110.0,-1.118063
111,"(7e-06, 3.08)","(9.8e-05, 2.508)",120.0,-1.168108
112,"(7e-06, 3.08)","(9.9e-05, 2.508)",130.0,-1.209144
113,"(7e-06, 3.08)","(0.000101, 2.508)",140.0,-1.241171
114,"(7e-06, 3.08)","(0.000103, 2.508)",150.0,-1.282207
115,"(7e-06, 3.08)","(0.000105, 2.508)",160.0,-1.323243
116,"(7e-06, 3.08)","(0.000107, 2.508)",170.0,-1.364279
117,"(7e-06, 3.08)","(0.00011, 2.508)",180.0,-1.396306
118,"(7e-06, 3.08)","(0.000113, 2.508)",190.0,-1.428333
119,"(7e-06, 3.08)","(0.000116, 2.508)",200.0,-1.469369
120,"(3.5e-05, 3.08)","(9.6e-05, 2.508)",10.0,1.026746
121,"(3.5e-05, 3.08)","(9.9e-05, 2.508)",20.0,1.046911
122,"(3.5e-05, 3.08)","(0.000102, 2.508)",30.0,1.05938
123,"(3.5e-05, 3.08)","(0.000104, 2.508)",40.0,1.072437
124,"(3.5e-05, 3.08)","(0.000105, 2.508)",50.0,1.076695
125,"(3.5e-05, 3.08)","(0.000105, 2.508)",60.0,1.081111
126,"(3.5e-05, 3.08)","(0.000103, 2.508)",70.0,1.08569
127,"(3.5e-05, 3.08)","(0.000101, 2.508)",80.0,1.090435
128,"(3.5e-05, 3.08)","(9.9e-05, 2.508)",90.0,1.085435
129,"(3.5e-05, 3.08)","(9.7e-05, 2.508)",100.0,1.080435
130,"(3.5e-05, 3.08)","(9.7e-05, 2.508)",110.0,1.046695
131,"(3.5e-05, 3.08)","(9.8e-05, 2.508)",120.0,0.996911
132,"(3.5e-05, 3.08)","(9.9e-05, 2.508)",130.0,0.958622
133,"(3.5e-05, 3.08)","(0.000101, 2.508)",140.0,-0.07
134,"(3.5e-05, 3.08)","(0.000103, 2.508)",150.0,-1.105769
135,"(3.5e-05, 3.08)","(0.000105, 2.508)",160.0,-1.141538
136,"(3.5e-05, 3.08)","(0.000107, 2.508)",170.0,-1.177308
137,"(3.5e-05, 3.08)","(0.00011, 2.508)",180.0,-1.205385
138,"(3.5e-05, 3.08)","(0.000113, 2.508)",190.0,-1.233462
139,"(3.5e-05, 3.08)","(0.000116, 2.508)",200.0,-1.269231
140,"(9.6e-05, 2.508)","(3.5e-05, 2.992)",10.0,1.081207
141,"(9.6e-05, 2.508)","(3.9e-05, 2.992)",20.0,1.163913
142,"(9.6e-05, 2.508)","(4.3e-05, 2.992)",30.0,1.245
143,"(9.6e-05, 2.508)","(4.7e-05, 2.992)",40.0,1.310986
144,"(9.6e-05, 2.508)","(5.1e-05, 2.992)",50.0,1.354562
145,"(9.6e-05, 2.508)","(5.4e-05, 2.992)",60.0,1.391053
146,"(9.6e-05, 2.508)","(5.7e-05, 2.992)",70.0,1.418846
147,"(9.6e-05, 2.508)","(5.9e-05, 2.992)",80.0,1.448189
148,"(9.6e-05, 2.508)","(6.1e-05, 2.992)",90.0,1.455
149,"(9.6e-05, 2.508)","(6.3e-05, 2.992)",100.0,1.403846
150,"(9.6e-05, 2.508)","(6.4e-05, 2.992)",110.0,1.345
151,"(9.6e-05, 2.508)","(6.6e-05, 2.992)",120.0,1.299712
152,"(9.6e-05, 2.508)","(6.8e-05, 2.992)",130.0,1.256678
153,"(9.6e-05, 2.508)","(7.1e-05, 2.992)",140.0,1.207027
154,"(9.6e-05, 2.508)","(7.3e-05, 2.992)",150.0,1.176656
155,"(9.6e-05, 2.508)","(7.5e-05, 2.992)",160.0,1.139355
156,"(9.6e-05, 2.508)","(7.8e-05, 2.992)",170.0,1.103679
157,"(9.6e-05, 2.508)","(8.1e-05, 2.992)",180.0,1.076667
158,"(9.6e-05, 2.508)","(8.4e-05, 2.992)",190.0,1.043554
159,"(9.6e-05, 2.508)","(8.7e-05, 2.992)",200.0,1.018343
160,"(0.000105, 2.508)","(3.5e-05, 2.992)",10.0,1.089444
161,"(0.000105, 2.508)","(3.9e-05, 2.992)",20.0,1.176747
162,"(0.000105, 2.508)","(4.3e-05, 2.992)",30.0,1.272582
163,"(0.000105, 2.508)","(4.7e-05, 2.992)",40.0,1.338621
164,"(0.000105, 2.508)","(5.1e-05, 2.992)",50.0,1.402536
165,"(0.000105, 2.508)","(5.4e-05, 2.992)",60.0,1.440149
166,"(0.000105, 2.508)","(5.7e-05, 2.992)",70.0,1.480385
167,"(0.000105, 2.508)","(5.9e-05, 2.992)",80.0,1.499063
168,"(0.000105, 2.508)","(6.1e-05, 2.992)",90.0,1.518492
169,"(0.000105, 2.508)","(6.3e-05, 2.992)",100.0,1.465385
170,"(0.000105, 2.508)","(6.4e-05, 2.992)",110.0,1.404259
171,"(0.000105, 2.508)","(6.6e-05, 2.992)",120.0,1.357266
172,"(0.000105, 2.508)","(6.8e-05, 2.992)",130.0,1.312622
173,"(0.000105, 2.508)","(7.1e-05, 2.992)",140.0,1.261081
174,"(0.000105, 2.508)","(7.3e-05, 2.992)",150.0,1.229636
175,"(0.000105, 2.508)","(7.5e-05, 2.992)",160.0,1.190968
176,"(0.000105, 2.508)","(7.8e-05, 2.992)",170.0,1.153994
177,"(0.000105, 2.508)","(8.1e-05, 2.992)",180.0,1.126049
178,"(0.000105, 2.508)","(8.4e-05, 2.992)",190.0,1.091747
179,"(0.000105, 2.508)","(8.7e-05, 2.992)",200.0,1.06568
180,"(0.00011, 2.508)","(3.5e-05, 2.992)",10.0,1.093361
181,"(0.00011, 2.508)","(3.9e-05, 2.992)",20.0,1.179349
182,"(0.00011, 2.508)","(4.3e-05, 2.992)",30.0,1.281774
183,"(0.00011, 2.508)","(4.7e-05, 2.992)",40.0,1.356712
184,"(0.00011, 2.508)","(5.1e-05, 2.992)",50.0,1.421043
185,"(0.00011, 2.508)","(5.4e-05, 2.992)",60.0,1.47
186,"(0.00011, 2.508)","(5.7e-05, 2.992)",70.0,1.499351
187,"(0.00011, 2.508)","(5.9e-05, 2.992)",80.0,1.530312
188,"(0.00011, 2.508)","(6.1e-05, 2.992)",90.0,1.550238
189,"(0.00011, 2.508)","(6.3e-05, 2.992)",100.0,1.496154
190,"(0.00011, 2.508)","(6.4e-05, 2.992)",110.0,1.433889
191,"(0.00011, 2.508)","(6.6e-05, 2.992)",120.0,1.386043
192,"(0.00011, 2.508)","(6.8e-05, 2.992)",130.0,1.340594
193,"(0.00011, 2.508)","(7.1e-05, 2.992)",140.0,1.288108
194,"(0.00011, 2.508)","(7.3e-05, 2.992)",150.0,1.256126
195,"(0.00011, 2.508)","(7.5e-05, 2.992)",160.0,1.216774
196,"(0.00011, 2.508)","(7.8e-05, 2.992)",170.0,1.179151
197,"(0.00011, 2.508)","(8.1e-05, 2.992)",180.0,1.150741
198,"(0.00011, 2.508)","(8.4e-05, 2.992)",190.0,1.115843
199,"(0.00011, 2.508)","(8.7e-05, 2.992)",200.0,1.089349
200,"(7.5e-05, 2.992)","(9.9e-05, 3.256)",10.0,1.095719
201,"(7.5e-05, 2.992)","(9.7e-05, 3.256)",20.0,1.123333
202,"(7.5e-05, 2.992)","(9.5e-05, 3.256)",30.0,1.135376
